,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
3,Mitch Bratt,683352,L,SV,L,56,0.403,6.0,0.393,0.089,0.375,0.154,0.231,0.231,0.077,82.369,2,3,1,0,L,CIN@ARI,ARI,CIN
0,Andrew Abbott,671096,L,CH,R,960,0.258,57.0,0.403,0.155,0.227,0.236,0.462,0.24,0.072,82.986,42,8,0,7,R,CIN@ARI,CIN,ARI
1,Andrew Abbott,671096,L,CU,R,588,0.158,28.0,0.405,0.077,0.283,0.341,0.376,0.306,0.035,86.413,22,3,0,3,R,CIN@ARI,CIN,ARI
2,Andrew Abbott,671096,L,FC,R,172,0.046,10.0,0.291,0.174,0.37,0.417,0.583,0.208,0.167,87.071,5,2,0,3,R,CIN@ARI,CIN,ARI
3,Andrew Abbott,671096,L,FF,R,1654,0.445,88.0,0.33,0.079,0.228,0.456,0.317,0.327,0.097,88.992,54,18,2,14,R,CIN@ARI,CIN,ARI
4,Andrew Abbott,671096,L,ST,R,342,0.092,20.0,0.401,0.123,0.23,0.345,0.345,0.31,0.086,87.531,13,3,0,4,R,CIN@ARI,CIN,ARI
0,Andrew Abbott,671096,L,CH,L,20,0.015,1.0,0.45,0.05,0.333,0.0,1.0,0.0,0.0,89.1,1,0,0,0,L,CIN@ARI,CIN,ARI
1,Andrew Abbott,671096,L,CU,L,137,0.101,6.0,0.299,0.168,0.146,0.125,0.312,0.312,0.031,76.731,5,0,0,1,L,CIN@ARI,CIN,ARI
2,Andrew Abbott,671096,L,FC,L,6,0.004,1.0,0.333,0.0,0.5,0.5,0.5,0.0,0.0,93.1,1,0,0,0,L,CIN@ARI,CIN,ARI
3,Andrew Abbott,671096,L,FF,L,681,0.503,42.0,0.314,0.072,0.271,0.405,0.355,0.306,0.066,89.302,31,8,0,3,L,CIN@ARI,CIN,ARI
4,Andrew Abbott,671096,L,ST,L,510,0.377,24.0,0.343,0.196,0.22,0.338,0.338,0.324,0.068,85.507,13,9,0,2,L,CIN@ARI,CIN,ARI
0,Shane Drohan,675660,L,CH,R,75,0.067,2.0,0.587,0.12,0.333,0.25,0.0,0.25,0.0,77.575,1,1,0,0,R,ATL@MIL,MIL,ATL
1,Shane Drohan,675660,L,CU,R,208,0.186,13.0,0.38,0.12,0.317,0.31,0.379,0.172,0.103,81.359,9,3,0,1,R,ATL@MIL,MIL,ATL
2,Shane Drohan,675660,L,FC,R,134,0.12,11.0,0.284,0.075,0.297,0.389,0.444,0.222,0.028,86.219,9,1,0,1,R,ATL@MIL,MIL,ATL
3,Shane Drohan,675660,L,FF,R,349,0.311,9.0,0.335,0.169,0.123,0.311,0.311,0.467,0.044,82.833,6,1,0,2,R,ATL@MIL,MIL,ATL
4,Shane Drohan,675660,L,SI,R,199,0.178,23.0,0.307,0.05,0.397,0.549,0.451,0.216,0.157,93.147,14,6,0,3,R,ATL@MIL,MIL,ATL
5,Shane Drohan,675660,L,SL,R,156,0.139,5.0,0.41,0.154,0.111,0.31,0.483,0.276,0.069,86.666,3,0,0,2,R,ATL@MIL,MIL,ATL
0,Shane Drohan,675660,L,CH,L,1,0.002,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.3,0,0,0,0,L,ATL@MIL,MIL,ATL
1,Shane Drohan,675660,L,CU,L,4,0.009,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,93.95,0,0,0,0,L,ATL@MIL,MIL,ATL
2,Shane Drohan,675660,L,FC,L,62,0.135,3.0,0.371,0.113,0.25,0.167,0.167,0.667,0.167,77.558,2,1,0,0,L,ATL@MIL,MIL,ATL
3,Shane Drohan,675660,L,FF,L,111,0.242,5.0,0.414,0.081,0.192,0.526,0.263,0.421,0.105,91.095,3,2,0,0,L,ATL@MIL,MIL,ATL
4,Shane Drohan,675660,L,SI,L,116,0.253,10.0,0.328,0.078,0.357,0.407,0.704,0.185,0.111,83.381,5,4,1,0,L,ATL@MIL,MIL,ATL
5,Shane Drohan,675660,L,SL,L,164,0.358,11.0,0.293,0.268,0.216,0.323,0.387,0.258,0.032,85.842,7,3,1,0,L,ATL@MIL,MIL,ATL
0,Tyler Mahle,641816,R,FC,R,268,0.166,24.0,0.343,0.071,0.296,0.4,0.387,0.253,0.04,87.715,21,2,0,1,R,ATL@MIL,ATL,MIL
1,Tyler Mahle,641816,R,FF,R,773,0.479,41.0,0.361,0.085,0.266,0.431,0.366,0.317,0.122,92.332,28,6,1,6,R,ATL@MIL,ATL,MIL
2,Tyler Mahle,641816,R,FS,R,305,0.189,15.0,0.338,0.141,0.203,0.469,0.551,0.163,0.102,90.561,11,2,0,2,R,ATL@MIL,ATL,MIL
3,Tyler Mahle,641816,R,SI,R,17,0.011,1.0,0.353,0.118,1.0,1.0,1.0,0.0,0.0,101.1,1,0,0,0,R,ATL@MIL,ATL,MIL
4,Tyler Mahle,641816,R,SL,R,250,0.155,19.0,0.496,0.1,0.333,0.28,0.46,0.18,0.06,85.39,14,4,0,1,R,ATL@MIL,ATL,MIL
0,Tyler Mahle,641816,R,FC,L,210,0.131,11.0,0.329,0.086,0.244,0.385,0.41,0.231,0.026,88.118,8,2,0,1,L,ATL@MIL,ATL,MIL
1,Tyler Mahle,641816,R,FF,L,792,0.493,22.0,0.393,0.1,0.163,0.407,0.244,0.477,0.093,90.77,10,4,2,6,L,ATL@MIL,ATL,MIL
2,Tyler Mahle,641816,R,FS,L,573,0.357,43.0,0.3,0.162,0.231,0.295,0.459,0.247,0.062,85.038,30,9,0,4,L,ATL@MIL,ATL,MIL
3,Tyler Mahle,641816,R,SL,L,32,0.02,1.0,0.25,0.125,0.167,0.2,0.6,0.2,0.0,86.94,0,1,0,0,L,ATL@MIL,ATL,MIL
