,player_name,pitcher,p_throws,pitch_type,stand,PitchesThrown,%,H,Ball%,SwStr%,AVG,Hard%,GB%,FB%,Brl%,launch_speed,1B,2B,3B,HR,Split,Game,Team,Opp
1,Janson Junk,676083,R,CU,L,269,0.147,23.0,0.387,0.086,0.377,0.519,0.558,0.192,0.077,90.01,17,4,0,2,L,WSH@MIA,MIA,WSH
2,Janson Junk,676083,R,FF,L,716,0.392,50.0,0.302,0.066,0.286,0.46,0.36,0.259,0.072,91.999,31,14,2,3,L,WSH@MIA,MIA,WSH
3,Janson Junk,676083,R,SI,L,17,0.009,3.0,0.412,0.0,0.5,0.667,0.5,0.0,0.167,97.133,2,1,0,0,L,WSH@MIA,MIA,WSH
4,Janson Junk,676083,R,SL,L,412,0.225,31.0,0.286,0.104,0.267,0.343,0.354,0.293,0.081,86.957,20,5,1,5,L,WSH@MIA,MIA,WSH
5,Janson Junk,676083,R,ST,L,96,0.053,6.0,0.354,0.031,0.316,0.4,0.533,0.133,0.133,81.467,5,0,0,1,L,WSH@MIA,MIA,WSH
0,Jackson Kent,800600,L,CH,R,33,0.282,1.0,0.485,0.182,0.111,0.6,0.6,0.2,0.2,87.64,0,0,0,1,R,WSH@MIA,WSH,MIA
1,Jackson Kent,800600,L,CU,R,15,0.128,1.0,0.533,0.0,1.0,0.0,0.0,0.0,0.0,93.2,1,0,0,0,R,WSH@MIA,WSH,MIA
2,Jackson Kent,800600,L,FF,R,51,0.436,4.0,0.51,0.02,0.444,0.625,0.75,0.125,0.0,95.288,4,0,0,0,R,WSH@MIA,WSH,MIA
3,Jackson Kent,800600,L,SL,R,18,0.154,0.0,0.5,0.111,0.0,0.0,0.0,0.0,0.0,67.0,0,0,0,0,R,WSH@MIA,WSH,MIA
0,Jackson Kent,800600,L,CH,L,1,0.022,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,L,WSH@MIA,WSH,MIA
1,Jackson Kent,800600,L,FF,L,23,0.511,1.0,0.304,0.043,0.143,0.5,0.5,0.25,0.0,90.6,1,0,0,0,L,WSH@MIA,WSH,MIA
2,Jackson Kent,800600,L,SL,L,21,0.467,4.0,0.333,0.095,0.667,0.4,0.4,0.0,0.0,91.68,2,2,0,0,L,WSH@MIA,WSH,MIA
0,Daniel Lynch IV,663738,L,CH,R,385,0.343,28.0,0.335,0.143,0.25,0.362,0.521,0.191,0.074,87.22,17,8,0,3,R,DET@KC,KC,DET
1,Daniel Lynch IV,663738,L,CU,R,160,0.142,6.0,0.356,0.088,0.286,0.619,0.381,0.333,0.048,90.786,3,2,0,1,R,DET@KC,KC,DET
2,Daniel Lynch IV,663738,L,FF,R,286,0.254,13.0,0.476,0.056,0.25,0.432,0.25,0.5,0.091,93.018,6,4,0,3,R,DET@KC,KC,DET
3,Daniel Lynch IV,663738,L,SI,R,153,0.136,7.0,0.359,0.059,0.212,0.429,0.607,0.179,0.107,90.425,6,1,0,0,R,DET@KC,KC,DET
4,Daniel Lynch IV,663738,L,SL,R,140,0.125,9.0,0.379,0.143,0.237,0.556,0.222,0.333,0.111,92.315,4,4,0,1,R,DET@KC,KC,DET
0,Daniel Lynch IV,663738,L,CH,L,16,0.021,1.0,0.312,0.125,0.111,0.333,1.0,0.0,0.0,86.7,0,1,0,0,L,DET@KC,KC,DET
1,Daniel Lynch IV,663738,L,CU,L,10,0.013,1.0,0.2,0.1,1.0,1.0,1.0,0.0,0.0,104.4,1,0,0,0,L,DET@KC,KC,DET
2,Daniel Lynch IV,663738,L,FF,L,84,0.111,7.0,0.345,0.06,0.389,0.412,0.471,0.412,0.059,88.041,5,1,0,1,L,DET@KC,KC,DET
