,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp
12,Yandy Diaz,650490,R,650490,SI,231.0,67.0,0.29,0.043,0.3291102362204724,0.757,0.11300000000000004,90.88109452736317,0.483,201,0.06,0.517,0.697,0.179,0.109,0.118,0.067,53,8,0,6,TB@ARI,TB,ARI
13,Yandy Diaz,650490,R,650490,SL,183.0,49.0,0.268,0.073,0.3135,0.735,0.15799999999999997,89.83766233766234,0.508,154,0.097,0.448,0.552,0.201,0.208,0.149,0.057,34,8,0,7,TB@ARI,TB,ARI
14,Yandy Diaz,650490,R,650490,ST,59.0,25.0,0.424,0.102,0.4641587301587301,1.104,0.22000000000000003,88.60217391304347,0.519,46,0.13,0.37,0.348,0.37,0.217,0.206,0.048,18,4,0,3,TB@ARI,TB,ARI
16,Brandon Lowe,664040,R,664040,CH,151.0,31.0,0.205,0.188,0.25103125,0.575,0.12600000000000003,85.90593220338982,0.404,118,0.042,0.356,0.492,0.195,0.246,0.226,0.055,20,7,0,4,TB@ARI,TB,ARI
17,Brandon Lowe,664040,R,664040,CU,88.0,24.0,0.273,0.202,0.3539157894736842,0.834,0.238,90.3,0.594,61,0.148,0.475,0.475,0.262,0.262,0.292,0.042,15,3,0,6,TB@ARI,TB,ARI
18,Brandon Lowe,664040,R,664040,FC,55.0,15.0,0.273,0.205,0.3950338983050847,0.958,0.363,91.33076923076923,0.522,39,0.128,0.436,0.333,0.256,0.333,0.271,0.068,6,3,1,5,TB@ARI,TB,ARI
23,Brandon Lowe,664040,R,664040,SI,67.0,16.0,0.239,0.093,0.308825,0.676,0.07400000000000001,93.19655172413792,0.679,58,0.103,0.534,0.517,0.328,0.155,0.112,0.162,11,5,0,0,TB@ARI,TB,ARI
24,Brandon Lowe,664040,R,664040,SL,95.0,20.0,0.211,0.22,0.3214910714285714,0.73,0.18900000000000003,90.63000000000001,0.629,60,0.1,0.517,0.283,0.217,0.367,0.312,0.107,13,1,1,5,TB@ARI,TB,ARI
25,Brandon Lowe,664040,R,664040,ST,23.0,4.0,0.174,0.238,0.31792,0.762,0.34800000000000003,94.05,0.667,12,0.083,0.5,0.25,0.417,0.333,0.44,0.04,0,2,0,2,TB@ARI,TB,ARI
27,Junior Caminero,691406,R,691406,CH,12.0,2.0,0.167,0.163,0.2766153846153846,0.648,0.24999999999999997,82.72222222222223,1.0,9,0.111,0.333,0.778,0.0,0.111,0.231,0.0,1,0,0,1,TB@ARI,TB,ARI
28,Junior Caminero,691406,R,691406,CU,8.0,3.0,0.375,0.194,0.36975,0.875,0.125,99.95,1.0,4,0.0,0.75,0.5,0.5,0.0,0.5,0.0,2,1,0,0,TB@ARI,TB,ARI
29,Junior Caminero,691406,R,691406,FC,14.0,4.0,0.286,0.073,0.37331249999999994,0.875,0.21400000000000002,84.57857142857142,0.714,14,0.214,0.357,0.286,0.143,0.357,0.0,0.125,3,0,0,1,TB@ARI,TB,ARI
32,Junior Caminero,691406,R,691406,SI,48.0,11.0,0.229,0.077,0.204125,0.479,0.02099999999999999,88.9560975609756,0.444,41,0.049,0.439,0.683,0.122,0.098,0.146,0.0,10,1,0,0,TB@ARI,TB,ARI
33,Junior Caminero,691406,R,691406,SL,51.0,11.0,0.216,0.18,0.2927818181818182,0.68,0.19599999999999998,85.2,0.667,35,0.143,0.343,0.6,0.229,0.114,0.304,0.071,3,7,0,1,TB@ARI,TB,ARI
34,Junior Caminero,691406,R,691406,ST,26.0,4.0,0.154,0.184,0.209962962962963,0.493,0.154,90.87222222222222,0.625,18,0.111,0.444,0.444,0.0,0.444,0.296,0.037,2,1,0,1,TB@ARI,TB,ARI
36,Jonathan Aranda,666018,R,666018,CH,45.0,12.0,0.267,0.1,0.306063829787234,0.72,0.15499999999999997,86.05853658536586,0.444,41,0.049,0.293,0.488,0.244,0.195,0.085,0.043,7,4,0,1,TB@ARI,TB,ARI
37,Jonathan Aranda,666018,R,666018,CU,16.0,4.0,0.25,0.13,0.31074999999999997,0.75,0.25,92.07272727272726,0.6,11,0.091,0.364,0.545,0.273,0.182,0.312,0.0,2,1,0,1,TB@ARI,TB,ARI
38,Jonathan Aranda,666018,R,666018,FC,24.0,8.0,0.333,0.126,0.4468518518518519,1.06,0.334,96.43333333333332,0.846,21,0.381,0.667,0.286,0.238,0.381,0.143,0.071,4,2,0,2,TB@ARI,TB,ARI
41,Jonathan Aranda,666018,R,666018,SI,42.0,13.0,0.31,0.056,0.34325,0.777,0.07100000000000001,97.66451612903225,0.846,31,0.129,0.71,0.581,0.323,0.097,0.229,0.125,10,3,0,0,TB@ARI,TB,ARI
42,Jonathan Aranda,666018,R,666018,SL,29.0,11.0,0.379,0.183,0.47968749999999993,1.148,0.345,87.05499999999999,0.75,20,0.2,0.5,0.55,0.0,0.4,0.303,0.061,6,2,1,2,TB@ARI,TB,ARI
43,Jonathan Aranda,666018,R,666018,ST,6.0,1.0,0.167,0.042,0.42974999999999997,1.042,0.5,94.66666666666667,0.5,6,0.167,0.333,0.333,0.167,0.5,0.0,0.125,0,0,0,1,TB@ARI,TB,ARI
45,Christopher Morel,666624,R,666624,CH,34.0,6.0,0.176,0.179,0.2904102564102564,0.664,0.20600000000000002,87.85,0.375,20,0.05,0.4,0.55,0.1,0.3,0.359,0.128,3,1,0,2,TB@ARI,TB,ARI
46,Christopher Morel,666624,R,666624,CU,66.0,12.0,0.182,0.175,0.2447123287671233,0.545,0.10599999999999998,87.82666666666667,0.647,45,0.067,0.378,0.533,0.2,0.178,0.297,0.068,8,2,1,1,TB@ARI,TB,ARI
47,Christopher Morel,666624,R,666624,FC,74.0,21.0,0.284,0.141,0.3499746835443037,0.829,0.21600000000000003,89.31864406779661,0.5,59,0.169,0.373,0.492,0.169,0.237,0.19,0.063,13,4,0,4,TB@ARI,TB,ARI
51,Christopher Morel,666624,R,666624,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
52,Christopher Morel,666624,R,666624,SI,165.0,52.0,0.315,0.076,0.34460555555555555,0.794,0.10899999999999999,87.10136054421768,0.37,147,0.041,0.388,0.544,0.218,0.15,0.105,0.061,42,6,0,4,TB@ARI,TB,ARI
53,Christopher Morel,666624,R,666624,SL,151.0,33.0,0.219,0.22,0.3140892857142857,0.735,0.218,90.17553191489361,0.574,94,0.117,0.426,0.404,0.202,0.298,0.339,0.101,21,1,1,10,TB@ARI,TB,ARI
54,Christopher Morel,666624,R,666624,ST,71.0,13.0,0.183,0.205,0.25213513513513514,0.593,0.197,86.49333333333333,0.391,45,0.111,0.311,0.378,0.156,0.356,0.36,0.027,7,2,0,4,TB@ARI,TB,ARI
56,Kameron Misner,670224,R,670224,CH,14.0,3.0,0.214,0.206,0.2112857142857143,0.486,0.07199999999999998,84.46000000000001,0.4,10,0.0,0.3,0.5,0.3,0.2,0.333,0.0,2,1,0,0,TB@ARI,TB,ARI
57,Kameron Misner,670224,R,670224,CU,4.0,0.0,0.0,0.0,0.0,0.0,0.0,89.8,0.0,3,0.0,0.0,0.0,0.333,0.667,0.25,0.0,0,0,0,0,TB@ARI,TB,ARI
58,Kameron Misner,670224,R,670224,FC,1.0,0.0,0.0,0.125,0.0,0.0,0.0,83.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
61,Kameron Misner,670224,R,670224,SI,9.0,3.0,0.333,0.065,0.4313636363636363,1.011,0.22300000000000003,79.2625,0.0,8,0.0,0.0,0.75,0.125,0.125,0.091,0.182,1,2,0,0,TB@ARI,TB,ARI
62,Kameron Misner,670224,R,670224,SL,4.0,1.0,0.25,0.217,0.312,0.75,0.25,94.4,0.0,1,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0,1,0,0,TB@ARI,TB,ARI
63,Kameron Misner,670224,R,670224,ST,2.0,2.0,1.0,0.0,1.4344999999999999,3.5,1.5,97.15,1.0,2,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1,0,0,1,TB@ARI,TB,ARI
64,Danny Jansen,643376,R,643376,CH,23.0,3.0,0.13,0.165,0.26182758620689656,0.527,0.087,87.61176470588236,0.0,17,0.0,0.235,0.588,0.176,0.235,0.207,0.138,1,2,0,0,TB@ARI,TB,ARI
65,Danny Jansen,643376,R,643376,CU,24.0,5.0,0.208,0.069,0.266,0.588,0.08399999999999999,88.9,0.6,16,0.062,0.438,0.375,0.312,0.312,0.296,0.074,3,2,0,0,TB@ARI,TB,ARI
67,Danny Jansen,643376,R,643376,FC,34.0,7.0,0.206,0.108,0.31255263157894736,0.73,0.23500000000000001,89.70370370370371,0.471,27,0.111,0.333,0.222,0.296,0.333,0.184,0.105,3,2,0,2,TB@ARI,TB,ARI
71,Danny Jansen,643376,R,643376,SI,97.0,25.0,0.258,0.055,0.3305833333333333,0.766,0.175,86.82758620689656,0.479,87,0.057,0.391,0.379,0.23,0.322,0.093,0.083,16,5,0,4,TB@ARI,TB,ARI
72,Danny Jansen,643376,R,643376,SL,91.0,19.0,0.209,0.106,0.2704631578947368,0.636,0.18700000000000003,81.85,0.351,70,0.071,0.257,0.371,0.157,0.371,0.229,0.021,10,5,0,4,TB@ARI,TB,ARI
73,Danny Jansen,643376,R,643376,ST,28.0,4.0,0.143,0.095,0.13617857142857143,0.322,0.036000000000000004,85.54782608695652,0.333,23,0.0,0.217,0.174,0.174,0.348,0.179,0.0,3,1,0,0,TB@ARI,TB,ARI
75,Taylor Walls,670764,R,670764,CH,58.0,16.0,0.276,0.149,0.32759374999999996,0.758,0.13799999999999996,83.56222222222223,0.353,45,0.067,0.244,0.578,0.222,0.156,0.203,0.094,12,2,0,2,TB@ARI,TB,ARI
76,Taylor Walls,670764,R,670764,CU,28.0,3.0,0.107,0.08,0.15019354838709675,0.301,0.0,84.315,0.0,20,0.0,0.1,0.65,0.1,0.2,0.258,0.097,3,0,0,0,TB@ARI,TB,ARI
77,Taylor Walls,670764,R,670764,FC,31.0,6.0,0.194,0.05,0.2737368421052631,0.568,0.032,80.75,0.182,26,0.0,0.154,0.385,0.192,0.231,0.132,0.184,5,1,0,0,TB@ARI,TB,ARI
81,Taylor Walls,670764,R,670764,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,TB@ARI,TB,ARI
82,Taylor Walls,670764,R,670764,SI,54.0,9.0,0.167,0.073,0.2446774193548387,0.533,0.092,89.15813953488373,0.45,43,0.07,0.349,0.465,0.186,0.279,0.177,0.129,5,3,1,0,TB@ARI,TB,ARI
83,Taylor Walls,670764,R,670764,SL,40.0,8.0,0.2,0.109,0.26152272727272724,0.598,0.125,83.124,0.077,25,0.04,0.08,0.32,0.16,0.36,0.341,0.091,6,0,1,1,TB@ARI,TB,ARI
84,Taylor Walls,670764,R,670764,ST,9.0,2.0,0.222,0.047,0.27999999999999997,0.633,0.11100000000000002,79.63333333333333,0.0,6,0.0,0.0,0.333,0.167,0.5,0.3,0.1,1,1,0,0,TB@ARI,TB,ARI
1,Corbin Carroll,682998,R,682998,CU,93.0,23.0,0.247,0.118,0.29898969072164944,0.706,0.183,88.62173913043478,0.464,69,0.058,0.377,0.551,0.159,0.246,0.255,0.02,14,4,2,3,TB@ARI,ARI,TB
3,Corbin Carroll,682998,R,682998,FC,72.0,19.0,0.264,0.085,0.3394999999999999,0.78,0.16699999999999998,86.44915254237289,0.464,59,0.0,0.356,0.39,0.305,0.169,0.169,0.096,11,5,2,1,TB@ARI,ARI,TB
4,Corbin Carroll,682998,R,682998,FF,288.0,72.0,0.25,0.087,0.3824915254237288,0.889,0.25,91.02798165137614,0.554,218,0.115,0.436,0.271,0.271,0.284,0.2,0.163,36,15,6,15,TB@ARI,ARI,TB
9,Corbin Carroll,682998,R,682998,SI,109.0,40.0,0.367,0.038,0.45208730158730165,1.076,0.257,93.51954022988505,0.7,87,0.115,0.598,0.506,0.23,0.23,0.175,0.127,24,10,0,6,TB@ARI,ARI,TB
11,Corbin Carroll,682998,R,682998,ST,27.0,7.0,0.259,0.047,0.42319999999999997,1.016,0.44499999999999995,91.17999999999999,0.5,20,0.1,0.45,0.1,0.15,0.65,0.281,0.062,2,1,1,3,TB@ARI,ARI,TB
14,Geraldo Perdomo,672695,R,672695,CU,42.0,9.0,0.214,0.034,0.28128571428571425,0.606,0.07199999999999998,82.9962962962963,0.125,27,0.0,0.074,0.37,0.296,0.296,0.32,0.12,6,3,0,0,TB@ARI,ARI,TB
15,Geraldo Perdomo,672695,R,672695,FC,66.0,21.0,0.318,0.072,0.3789480519480519,0.86,0.137,79.50847457627118,0.258,59,0.034,0.153,0.322,0.271,0.254,0.114,0.114,16,3,0,2,TB@ARI,ARI,TB
16,Geraldo Perdomo,672695,R,672695,FF,237.0,56.0,0.236,0.043,0.34445205479452057,0.755,0.15600000000000003,84.22777777777777,0.308,216,0.032,0.255,0.301,0.204,0.352,0.114,0.176,34,14,1,7,TB@ARI,ARI,TB
20,Geraldo Perdomo,672695,R,672695,SI,91.0,26.0,0.286,0.026,0.31893069306930694,0.71,0.08800000000000002,86.25411764705883,0.37,85,0.012,0.318,0.412,0.259,0.282,0.112,0.093,20,4,2,0,TB@ARI,ARI,TB
22,Geraldo Perdomo,672695,R,672695,ST,31.0,4.0,0.129,0.073,0.17541176470588235,0.367,0.032,78.94444444444444,0.143,18,0.056,0.111,0.611,0.278,0.111,0.382,0.029,3,1,0,0,TB@ARI,ARI,TB
25,Pavin Smith,656976,R,656976,CU,27.0,4.0,0.148,0.108,0.2765625,0.614,0.18500000000000003,90.76875,0.667,16,0.125,0.5,0.375,0.438,0.125,0.344,0.156,1,2,0,1,TB@ARI,ARI,TB
27,Pavin Smith,656976,R,656976,FC,29.0,8.0,0.276,0.095,0.35215624999999995,0.827,0.20699999999999996,88.11818181818181,0.556,22,0.091,0.409,0.455,0.227,0.182,0.219,0.094,4,3,0,1,TB@ARI,ARI,TB
28,Pavin Smith,656976,R,656976,FF,93.0,32.0,0.344,0.045,0.473859649122807,1.134,0.3330000000000001,94.18481012658228,0.638,79,0.165,0.582,0.316,0.266,0.329,0.129,0.181,17,7,0,8,TB@ARI,ARI,TB
32,Pavin Smith,656976,R,656976,SI,37.0,14.0,0.378,0.019,0.5429999999999999,1.349,0.45999999999999996,92.81176470588235,0.65,34,0.206,0.471,0.382,0.206,0.382,0.064,0.213,7,2,0,5,TB@ARI,ARI,TB
34,Pavin Smith,656976,R,656976,ST,15.0,1.0,0.067,0.096,0.09887499999999999,0.192,0.0,86.78,0.0,10,0.0,0.2,0.6,0.2,0.2,0.312,0.0,1,0,0,0,TB@ARI,ARI,TB
37,Josh Naylor,647304,R,647304,CU,88.0,23.0,0.261,0.148,0.3331276595744681,0.782,0.21599999999999997,89.00645161290322,0.485,62,0.097,0.403,0.419,0.21,0.323,0.284,0.042,10,10,0,3,TB@ARI,ARI,TB
39,Josh Naylor,647304,R,647304,FC,58.0,17.0,0.293,0.043,0.33530158730158727,0.775,0.138,89.85283018867923,0.44,53,0.057,0.434,0.434,0.245,0.226,0.094,0.078,13,2,0,2,TB@ARI,ARI,TB
40,Josh Naylor,647304,R,647304,FF,245.0,78.0,0.318,0.076,0.3877416974169742,0.908,0.21300000000000002,91.62957746478872,0.471,213,0.08,0.455,0.352,0.263,0.305,0.134,0.083,52,13,0,13,TB@ARI,ARI,TB
44,Josh Naylor,647304,R,647304,SI,84.0,29.0,0.345,0.076,0.4104130434782609,0.973,0.22599999999999998,93.27236842105263,0.528,76,0.105,0.526,0.526,0.25,0.224,0.087,0.087,18,7,0,4,TB@ARI,ARI,TB
46,Josh Naylor,647304,R,647304,ST,21.0,2.0,0.095,0.101,0.28896153846153844,0.65,0.28600000000000003,83.02352941176471,0.5,17,0.118,0.294,0.471,0.059,0.412,0.154,0.192,0,0,0,2,TB@ARI,ARI,TB
49,Lourdes Gurriel Jr.,666971,R,666971,CU,44.0,10.0,0.227,0.146,0.266,0.619,0.13699999999999998,87.25142857142858,0.435,35,0.029,0.371,0.314,0.314,0.343,0.213,0.043,5,4,1,0,TB@ARI,ARI,TB
50,Lourdes Gurriel Jr.,666971,R,666971,FC,56.0,17.0,0.304,0.068,0.39647368421052626,0.953,0.339,85.71666666666667,0.417,54,0.074,0.352,0.5,0.204,0.241,0.052,0.017,8,4,0,5,TB@ARI,ARI,TB
51,Lourdes Gurriel Jr.,666971,R,666971,FF,253.0,59.0,0.233,0.072,0.28347636363636364,0.647,0.12299999999999997,90.01201923076923,0.504,208,0.072,0.457,0.322,0.298,0.312,0.173,0.058,41,11,1,6,TB@ARI,ARI,TB
55,Lourdes Gurriel Jr.,666971,R,666971,SI,156.0,48.0,0.308,0.049,0.36541420118343193,0.857,0.192,90.37234042553192,0.684,141,0.085,0.518,0.582,0.191,0.213,0.099,0.058,35,4,1,8,TB@ARI,ARI,TB
57,Lourdes Gurriel Jr.,666971,R,666971,ST,67.0,10.0,0.149,0.128,0.2288260869565217,0.544,0.224,82.64807692307691,0.375,52,0.077,0.231,0.212,0.135,0.327,0.229,0.014,3,3,0,4,TB@ARI,ARI,TB
60,Gabriel Moreno,672515,R,672515,CU,36.0,11.0,0.306,0.069,0.35345,0.819,0.138,87.41034482758621,0.615,29,0.103,0.414,0.483,0.241,0.207,0.175,0.1,8,2,0,1,TB@ARI,ARI,TB
62,Gabriel Moreno,672515,R,672515,FC,28.0,7.0,0.25,0.098,0.32121875,0.726,0.14300000000000002,91.57000000000001,0.333,20,0.05,0.35,0.4,0.25,0.35,0.273,0.121,4,2,1,0,TB@ARI,ARI,TB
63,Gabriel Moreno,672515,R,672515,FF,108.0,32.0,0.296,0.078,0.36611200000000005,0.843,0.15800000000000003,93.03707865168539,0.659,89,0.09,0.551,0.438,0.281,0.213,0.159,0.135,22,6,1,3,TB@ARI,ARI,TB
67,Gabriel Moreno,672515,R,672515,SI,114.0,27.0,0.237,0.042,0.31435036496350355,0.69,0.08800000000000002,91.25454545454546,0.581,99,0.071,0.505,0.667,0.212,0.101,0.109,0.153,21,4,0,2,TB@ARI,ARI,TB
69,Gabriel Moreno,672515,R,672515,ST,36.0,7.0,0.194,0.075,0.2045263157894737,0.447,0.027999999999999997,82.81290322580645,0.214,31,0.0,0.29,0.516,0.129,0.323,0.175,0.05,6,1,0,0,TB@ARI,ARI,TB
72,Eugenio Suarez,553993,R,553993,CU,46.0,9.0,0.196,0.124,0.3116862745098039,0.721,0.261,88.44814814814815,0.412,27,0.148,0.296,0.333,0.296,0.333,0.396,0.057,3,3,0,3,TB@ARI,ARI,TB
74,Eugenio Suarez,553993,R,553993,FC,61.0,18.0,0.295,0.173,0.38121538461538457,0.907,0.27899999999999997,87.3695652173913,0.583,46,0.109,0.457,0.391,0.239,0.283,0.242,0.061,9,5,0,4,TB@ARI,ARI,TB
75,Eugenio Suarez,553993,R,553993,FF,293.0,67.0,0.229,0.129,0.33544776119402986,0.776,0.225,93.04019607843138,0.625,204,0.181,0.51,0.211,0.279,0.426,0.274,0.091,35,14,2,16,TB@ARI,ARI,TB
79,Eugenio Suarez,553993,R,553993,SI,208.0,65.0,0.312,0.087,0.3518354430379747,0.797,0.09200000000000003,88.14293785310734,0.466,177,0.073,0.407,0.441,0.26,0.237,0.138,0.092,54,7,0,4,TB@ARI,ARI,TB
81,Eugenio Suarez,553993,R,553993,ST,62.0,11.0,0.177,0.165,0.2859402985074627,0.667,0.258,86.34878048780489,0.464,41,0.122,0.39,0.22,0.122,0.561,0.333,0.043,3,4,0,4,TB@ARI,ARI,TB
84,Alek Thomas,677950,R,677950,CU,60.0,10.0,0.167,0.137,0.18033333333333332,0.403,0.033,88.2,0.5,44,0.023,0.386,0.545,0.159,0.295,0.266,0.047,9,0,1,0,TB@ARI,ARI,TB
85,Alek Thomas,677950,R,677950,FC,34.0,9.0,0.265,0.104,0.41813157894736835,1.018,0.41100000000000003,89.11935483870967,0.6,31,0.097,0.484,0.484,0.226,0.258,0.079,0.079,2,3,1,3,TB@ARI,ARI,TB
86,Alek Thomas,677950,R,677950,FF,104.0,34.0,0.327,0.105,0.408904347826087,0.972,0.25999999999999995,92.025,0.622,84,0.143,0.512,0.381,0.333,0.202,0.188,0.094,17,10,4,3,TB@ARI,ARI,TB
90,Alek Thomas,677950,R,677950,SI,50.0,10.0,0.2,0.106,0.2577843137254902,0.612,0.2,90.1906976744186,0.714,43,0.07,0.535,0.674,0.093,0.233,0.154,0.0,6,1,0,3,TB@ARI,ARI,TB
92,Alek Thomas,677950,R,677950,ST,18.0,5.0,0.278,0.078,0.28394736842105267,0.649,0.05499999999999999,90.4125,0.667,16,0.062,0.438,0.562,0.25,0.125,0.105,0.0,4,1,0,0,TB@ARI,ARI,TB
95,Tim Tawa,694374,R,694374,CU,2.0,1.0,0.5,0.25,0.624,1.5,0.5,93.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0,1,0,0,TB@ARI,ARI,TB
96,Tim Tawa,694374,R,694374,FC,2.0,0.0,0.0,0.167,0.2323333333333333,0.333,0.0,78.75,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0,0,0,0,TB@ARI,ARI,TB
97,Tim Tawa,694374,R,694374,FF,5.0,1.0,0.2,0.08,0.4518333333333333,1.086,0.6000000000000001,88.18333333333334,0.25,6,0.167,0.333,0.167,0.167,0.5,0.0,0.143,0,0,0,1,TB@ARI,ARI,TB
99,Tim Tawa,694374,R,694374,SI,4.0,0.0,0.0,0.083,0.1454,0.2,0.0,98.275,0.0,4,0.0,0.5,0.75,0.0,0.25,0.0,0.0,0,0,0,0,TB@ARI,ARI,TB
101,Tim Tawa,694374,R,694374,ST,3.0,1.0,0.333,0.1,0.6713333333333332,1.666,1.0,89.89999999999999,1.0,3,0.333,0.667,0.333,0.333,0.333,0.0,0.0,0,0,0,1,TB@ARI,ARI,TB
0,Josh Smith,669701,R,669701,CH,93.0,21.0,0.226,0.124,0.24964583333333332,0.58,0.10700000000000001,84.42409638554217,0.432,83,0.036,0.337,0.506,0.253,0.193,0.113,0.021,15,4,0,2,TEX@OAK,TEX,OAK
3,Josh Smith,669701,R,669701,FC,61.0,14.0,0.23,0.095,0.30002985074626864,0.687,0.163,83.524,0.286,50,0.02,0.26,0.38,0.22,0.34,0.176,0.059,8,4,0,2,TEX@OAK,TEX,OAK
4,Josh Smith,669701,R,669701,FF,213.0,52.0,0.244,0.079,0.33761847389558236,0.769,0.174,88.75209580838323,0.467,167,0.078,0.401,0.293,0.228,0.401,0.191,0.12,30,14,1,7,TEX@OAK,TEX,OAK
6,Josh Smith,669701,R,669701,SI,65.0,18.0,0.277,0.02,0.3524230769230769,0.797,0.123,93.75090909090909,0.6,55,0.073,0.545,0.455,0.309,0.236,0.128,0.167,15,0,1,2,TEX@OAK,TEX,OAK
7,Josh Smith,669701,R,669701,SL,66.0,15.0,0.227,0.134,0.30314473684210524,0.677,0.12099999999999997,90.00454545454545,0.464,44,0.091,0.432,0.318,0.273,0.364,0.289,0.079,9,5,0,1,TEX@OAK,TEX,OAK
10,Wyatt Langford,694671,R,694671,CH,23.0,5.0,0.217,0.131,0.28884,0.66,0.17400000000000002,90.57333333333332,0.625,15,0.133,0.4,0.267,0.133,0.4,0.346,0.077,3,1,0,1,TEX@OAK,TEX,OAK
12,Wyatt Langford,694671,R,694671,FC,35.0,9.0,0.257,0.128,0.3383076923076923,0.79,0.2,84.46896551724137,0.353,29,0.069,0.345,0.379,0.207,0.379,0.154,0.103,6,1,0,2,TEX@OAK,TEX,OAK
13,Wyatt Langford,694671,R,694671,FF,109.0,28.0,0.257,0.108,0.32758536585365855,0.754,0.15599999999999997,93.9975,0.644,80,0.1,0.588,0.35,0.288,0.275,0.236,0.098,20,3,1,4,TEX@OAK,TEX,OAK
15,Wyatt Langford,694671,R,694671,SI,110.0,30.0,0.273,0.056,0.3208442622950819,0.732,0.118,88.69462365591399,0.514,93,0.065,0.409,0.559,0.194,0.204,0.146,0.081,21,7,0,2,TEX@OAK,TEX,OAK
16,Wyatt Langford,694671,R,694671,SL,95.0,18.0,0.189,0.129,0.2407058823529412,0.548,0.11599999999999999,87.27464788732394,0.545,71,0.056,0.423,0.408,0.211,0.254,0.243,0.068,11,5,0,2,TEX@OAK,TEX,OAK
19,Dustin Harris,687957,R,687957,CH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,TEX@OAK,TEX,OAK
21,Dustin Harris,687957,R,687957,FC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,TEX@OAK,TEX,OAK
22,Dustin Harris,687957,R,687957,FF,5.0,2.0,0.4,0.069,0.4666666666666666,1.1,0.19999999999999996,91.03333333333335,0.0,3,0.0,0.333,0.667,0.333,0.0,0.333,0.167,1,1,0,0,TEX@OAK,TEX,OAK
24,Dustin Harris,687957,R,687957,SI,6.0,2.0,0.333,0.083,0.416,1.0,0.334,98.84,0.8,5,0.0,0.8,0.0,0.6,0.4,0.167,0.0,0,2,0,0,TEX@OAK,TEX,OAK
25,Dustin Harris,687957,R,687957,SL,5.0,3.0,0.6,0.176,0.93,2.467,1.2000000000000002,94.0,0.5,4,0.5,0.5,0.0,0.25,0.75,0.167,0.167,1,0,0,2,TEX@OAK,TEX,OAK
27,Adolis Garcia,666969,R,666969,CH,63.0,11.0,0.175,0.25,0.21556060606060606,0.498,0.11099999999999999,95.3,0.667,37,0.162,0.568,0.405,0.054,0.514,0.394,0.045,6,4,0,1,TEX@OAK,TEX,OAK
30,Adolis Garcia,666969,R,666969,FC,52.0,19.0,0.365,0.152,0.446234375,1.035,0.19300000000000006,86.45454545454545,0.471,44,0.091,0.341,0.591,0.159,0.227,0.138,0.154,13,4,0,2,TEX@OAK,TEX,OAK
31,Adolis Garcia,666969,R,666969,FF,305.0,55.0,0.18,0.179,0.2850117302052786,0.654,0.21000000000000002,94.44427083333333,0.634,192,0.146,0.573,0.25,0.234,0.448,0.339,0.081,23,16,0,16,TEX@OAK,TEX,OAK
34,Adolis Garcia,666969,R,666969,SI,159.0,42.0,0.264,0.087,0.3777127071823204,0.889,0.277,94.08169014084507,0.592,142,0.155,0.57,0.444,0.183,0.317,0.109,0.103,24,5,0,13,TEX@OAK,TEX,OAK
35,Adolis Garcia,666969,R,666969,SL,199.0,52.0,0.261,0.189,0.3185240384615385,0.755,0.201,87.96530612244898,0.528,147,0.136,0.367,0.422,0.19,0.299,0.25,0.043,32,10,0,10,TEX@OAK,TEX,OAK
38,Marcus Semien,543760,R,543760,CH,68.0,17.0,0.25,0.164,0.31631944444444443,0.748,0.20600000000000002,84.96888888888888,0.417,45,0.022,0.311,0.333,0.178,0.356,0.319,0.042,11,2,0,4,TEX@OAK,TEX,OAK
41,Marcus Semien,543760,R,543760,FC,82.0,25.0,0.305,0.089,0.35151136363636365,0.828,0.17099999999999999,84.20632911392406,0.286,79,0.051,0.266,0.405,0.241,0.291,0.034,0.068,18,3,1,3,TEX@OAK,TEX,OAK
42,Marcus Semien,543760,R,543760,FF,323.0,76.0,0.235,0.06,0.3321355013550135,0.767,0.20500000000000002,90.9413559322034,0.484,295,0.085,0.447,0.308,0.247,0.376,0.086,0.121,44,14,2,16,TEX@OAK,TEX,OAK
