,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
33,Alec Bohm,664761,L,664761,CU,36.0,11.0,0.306,0.052,0.3569189189189189,0.852,0.22200000000000003,90.459375,0.692,32,0.062,0.5,0.5,0.219,0.188,0.108,0.027,7,2,0,2,PHI@CIN,PHI,CIN,4
34,Alec Bohm,664761,L,664761,FC,39.0,12.0,0.308,0.067,0.3412682926829268,0.803,0.15400000000000003,85.35625,0.3,32,0.031,0.344,0.344,0.25,0.375,0.171,0.049,8,3,0,1,PHI@CIN,PHI,CIN,4
35,Alec Bohm,664761,L,664761,FF,189.0,56.0,0.296,0.071,0.3896714975845411,0.925,0.27499999999999997,89.62625,0.482,160,0.094,0.444,0.356,0.225,0.294,0.148,0.077,30,13,0,13,PHI@CIN,PHI,CIN,4
40,Alec Bohm,664761,L,664761,ST,18.0,5.0,0.278,0.053,0.3847368421052631,0.911,0.33299999999999996,91.7,0.455,15,0.2,0.467,0.2,0.333,0.4,0.2,0.05,1,3,0,1,PHI@CIN,PHI,CIN,4
42,Brandon Marsh,669016,L,669016,CH,5.0,1.0,0.2,0.118,0.17099999999999999,0.4,0.0,96.10000000000001,0.0,3,0.0,0.667,0.667,0.333,0.0,0.4,0.0,1,0,0,0,PHI@CIN,PHI,CIN,5
43,Brandon Marsh,669016,L,669016,CU,20.0,2.0,0.1,0.205,0.19377272727272726,0.432,0.15,89.18333333333334,0.5,6,0.167,0.333,0.333,0.5,0.167,0.636,0.091,1,0,0,1,PHI@CIN,PHI,CIN,5
45,Brandon Marsh,669016,L,669016,FC,18.0,2.0,0.111,0.222,0.1876842105263158,0.436,0.16700000000000004,94.11111111111111,0.571,9,0.222,0.556,0.222,0.556,0.222,0.474,0.053,1,0,0,1,PHI@CIN,PHI,CIN,5
46,Brandon Marsh,669016,L,669016,FF,101.0,25.0,0.248,0.123,0.321025641025641,0.726,0.128,90.08305084745763,0.545,59,0.068,0.508,0.39,0.153,0.407,0.359,0.128,17,5,1,2,PHI@CIN,PHI,CIN,5
50,Brandon Marsh,669016,L,669016,ST,39.0,8.0,0.205,0.175,0.24959523809523806,0.558,0.10300000000000001,81.33478260869565,0.357,23,0.087,0.261,0.261,0.304,0.304,0.409,0.068,6,1,0,1,PHI@CIN,PHI,CIN,5
52,J.T. Realmuto,592663,L,592663,CH,88.0,20.0,0.227,0.162,0.27271111111111107,0.653,0.18199999999999997,84.99054054054054,0.586,74,0.149,0.338,0.568,0.189,0.203,0.156,0.022,11,4,3,2,PHI@CIN,PHI,CIN,6
54,J.T. Realmuto,592663,L,592663,CU,42.0,10.0,0.238,0.151,0.2979565217391304,0.685,0.14300000000000002,89.85483870967742,0.529,31,0.032,0.452,0.419,0.258,0.29,0.239,0.065,6,3,0,1,PHI@CIN,PHI,CIN,6
56,J.T. Realmuto,592663,L,592663,FC,27.0,7.0,0.259,0.134,0.36056666666666665,0.852,0.26,93.82105263157894,0.545,19,0.158,0.579,0.316,0.105,0.474,0.267,0.067,4,1,0,2,PHI@CIN,PHI,CIN,6
57,J.T. Realmuto,592663,L,592663,FF,154.0,29.0,0.188,0.121,0.2517305389221557,0.575,0.137,91.24807692307692,0.533,104,0.135,0.5,0.337,0.26,0.317,0.298,0.071,18,6,0,5,PHI@CIN,PHI,CIN,6
61,J.T. Realmuto,592663,L,592663,ST,16.0,6.0,0.375,0.106,0.4138823529411764,0.974,0.18700000000000006,85.98888888888888,0.4,9,0.111,0.333,0.333,0.222,0.333,0.412,0.0,3,3,0,0,PHI@CIN,PHI,CIN,6
63,Bryson Stott,681082,L,681082,CH,13.0,5.0,0.385,0.104,0.3288461538461539,0.77,0.0,84.58888888888889,0.0,9,0.0,0.111,0.667,0.111,0.222,0.308,0.0,5,0,0,0,PHI@CIN,PHI,CIN,7
64,Bryson Stott,681082,L,681082,CU,26.0,5.0,0.192,0.048,0.2165,0.481,0.03900000000000001,81.37142857142857,0.125,21,0.0,0.048,0.571,0.143,0.238,0.179,0.071,4,1,0,0,PHI@CIN,PHI,CIN,7
66,Bryson Stott,681082,L,681082,FC,28.0,8.0,0.286,0.13,0.28700000000000003,0.667,0.07100000000000001,83.64782608695653,0.167,23,0.0,0.217,0.435,0.304,0.217,0.172,0.034,6,2,0,0,PHI@CIN,PHI,CIN,7
67,Bryson Stott,681082,L,681082,FF,127.0,29.0,0.228,0.08,0.30863225806451616,0.66,0.07099999999999998,84.72142857142858,0.304,98,0.041,0.296,0.378,0.265,0.306,0.203,0.171,24,3,0,2,PHI@CIN,PHI,CIN,7
71,Bryson Stott,681082,L,681082,ST,42.0,5.0,0.119,0.116,0.13845454545454544,0.302,0.023999999999999994,72.715625,0.0,32,0.0,0.0,0.406,0.281,0.125,0.227,0.023,4,1,0,0,PHI@CIN,PHI,CIN,7
73,Derek Hill,656537,L,656537,CH,34.0,9.0,0.265,0.227,0.33686111111111106,0.797,0.235,80.11923076923077,0.545,26,0.077,0.346,0.577,0.192,0.231,0.243,0.054,6,0,1,2,PHI@CIN,PHI,CIN,8
75,Derek Hill,656537,L,656537,CU,18.0,5.0,0.278,0.198,0.2811666666666667,0.667,0.11099999999999999,94.36,0.6,10,0.0,0.6,0.5,0.4,0.1,0.444,0.0,3,2,0,0,PHI@CIN,PHI,CIN,8
76,Derek Hill,656537,L,656537,FC,20.0,4.0,0.2,0.259,0.32509090909090904,0.75,0.3,84.37142857142858,0.625,14,0.214,0.429,0.357,0.357,0.214,0.333,0.083,0,3,0,1,PHI@CIN,PHI,CIN,8
77,Derek Hill,656537,L,656537,FF,75.0,20.0,0.267,0.159,0.34341975308641975,0.81,0.22599999999999998,87.47500000000001,0.7,48,0.188,0.562,0.354,0.25,0.375,0.341,0.073,12,3,1,4,PHI@CIN,PHI,CIN,8
81,Derek Hill,656537,L,656537,ST,8.0,1.0,0.125,0.167,0.37863636363636355,0.864,0.375,94.775,0.5,4,0.25,0.5,0.0,0.25,0.75,0.364,0.091,0,0,0,1,PHI@CIN,PHI,CIN,8
83,Justin Crawford,702222,L,702222,CH,5.0,0.0,0.0,0.167,0.0,0.0,0.0,83.05,0.0,4,0.0,0.0,0.5,0.5,0.0,0.2,0.0,0,0,0,0,PHI@CIN,PHI,CIN,9
84,Justin Crawford,702222,L,702222,CU,2.0,0.0,0.0,0.0,0.2323333333333333,0.333,0.0,90.3,0.5,2,0.0,0.5,0.0,1.0,0.0,0.0,0.333,0,0,0,0,PHI@CIN,PHI,CIN,9
85,Justin Crawford,702222,L,702222,FC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,PHI@CIN,PHI,CIN,9
86,Justin Crawford,702222,L,702222,FF,10.0,1.0,0.1,0.125,0.08549999999999999,0.2,0.0,73.27142857142857,1.0,7,0.0,0.429,0.714,0.143,0.0,0.3,0.0,1,0,0,0,PHI@CIN,PHI,CIN,9
89,Justin Crawford,702222,L,702222,ST,4.0,1.0,0.25,0.353,0.21375,0.5,0.0,73.1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1,0,0,0,PHI@CIN,PHI,CIN,9
1,Elly De La Cruz,682829,R,682829,CU,166.0,35.0,0.211,0.139,0.2690282485875706,0.625,0.156,93.85222222222222,0.692,90,0.1,0.567,0.533,0.244,0.189,0.433,0.051,23,4,2,6,PHI@CIN,CIN,PHI,1
3,Elly De La Cruz,682829,R,682829,FC,124.0,39.0,0.315,0.102,0.3894420289855072,0.924,0.22500000000000003,90.94411764705882,0.578,102,0.059,0.48,0.51,0.255,0.186,0.159,0.101,25,5,4,5,PHI@CIN,CIN,PHI,1
4,Elly De La Cruz,682829,R,682829,FF,429.0,119.0,0.277,0.119,0.3817551867219917,0.909,0.275,94.67142857142858,0.667,287,0.199,0.571,0.404,0.251,0.293,0.295,0.11,56,31,9,23,PHI@CIN,CIN,PHI,1
5,Elly De La Cruz,682829,R,682829,FS,58.0,13.0,0.224,0.177,0.2832941176470588,0.614,0.05200000000000002,89.97749999999999,0.455,40,0.025,0.45,0.725,0.125,0.15,0.265,0.147,10,3,0,0,PHI@CIN,CIN,PHI,1
7,Elly De La Cruz,682829,R,682829,SI,126.0,34.0,0.27,0.07,0.3828533333333333,0.892,0.238,94.125,0.684,88,0.182,0.545,0.557,0.227,0.205,0.258,0.159,20,6,0,8,PHI@CIN,CIN,PHI,1
9,Elly De La Cruz,682829,R,682829,ST,57.0,13.0,0.228,0.146,0.30940624999999994,0.712,0.17600000000000002,92.83103448275861,0.471,29,0.034,0.414,0.414,0.31,0.276,0.446,0.092,7,3,2,1,PHI@CIN,CIN,PHI,1
12,Sal Stewart,701398,R,701398,CU,21.0,5.0,0.238,0.103,0.241,0.571,0.09500000000000003,81.92666666666668,0.5,15,0.067,0.333,0.667,0.067,0.2,0.286,0.0,3,2,0,0,PHI@CIN,CIN,PHI,2
13,Sal Stewart,701398,R,701398,FC,24.0,9.0,0.375,0.13,0.36711999999999995,0.858,0.08300000000000002,84.72380952380952,0.364,21,0.048,0.333,0.476,0.238,0.286,0.12,0.04,7,2,0,0,PHI@CIN,CIN,PHI,2
14,Sal Stewart,701398,R,701398,FF,81.0,23.0,0.284,0.195,0.4169893617021277,1.0,0.333,94.15957446808511,0.8,47,0.277,0.681,0.34,0.277,0.362,0.362,0.138,10,6,0,7,PHI@CIN,CIN,PHI,2
15,Sal Stewart,701398,R,701398,FS,7.0,1.0,0.143,0.222,0.12214285714285714,0.286,0.0,71.97999999999999,0.5,5,0.2,0.2,0.6,0.0,0.4,0.286,0.0,1,0,0,0,PHI@CIN,CIN,PHI,2
16,Sal Stewart,701398,R,701398,SI,69.0,18.0,0.261,0.098,0.37371052631578944,0.894,0.30399999999999994,89.81587301587301,0.5,63,0.159,0.492,0.524,0.222,0.254,0.079,0.092,9,3,0,6,PHI@CIN,CIN,PHI,2
18,Sal Stewart,701398,R,701398,ST,40.0,7.0,0.175,0.113,0.21041463414634143,0.482,0.125,85.37142857142857,0.333,35,0.086,0.229,0.257,0.257,0.343,0.182,0.023,4,2,0,1,PHI@CIN,CIN,PHI,2
21,JJ Bleday,668709,R,668709,CU,82.0,19.0,0.232,0.095,0.34002040816326534,0.772,0.18299999999999997,89.61186440677967,0.5,59,0.068,0.424,0.39,0.254,0.322,0.235,0.133,10,6,0,3,PHI@CIN,CIN,PHI,3
23,JJ Bleday,668709,R,668709,FC,74.0,20.0,0.27,0.066,0.3776511627906977,0.886,0.244,87.4703125,0.528,64,0.047,0.469,0.359,0.25,0.312,0.116,0.14,8,9,0,3,PHI@CIN,CIN,PHI,3
24,JJ Bleday,668709,R,668709,FF,326.0,87.0,0.267,0.077,0.3853652849740933,0.903,0.258,89.71635687732342,0.485,269,0.1,0.413,0.249,0.275,0.346,0.154,0.154,44,22,1,20,PHI@CIN,CIN,PHI,3
25,JJ Bleday,668709,R,668709,FS,70.0,6.0,0.086,0.225,0.12769736842105264,0.258,0.014000000000000012,81.44,0.214,40,0.0,0.175,0.55,0.125,0.225,0.395,0.079,5,1,0,0,PHI@CIN,CIN,PHI,3
26,JJ Bleday,668709,R,668709,SI,103.0,28.0,0.272,0.061,0.37387804878048775,0.866,0.20399999999999996,91.28505747126437,0.429,87,0.057,0.448,0.483,0.184,0.299,0.13,0.163,16,7,1,4,PHI@CIN,CIN,PHI,3
28,JJ Bleday,668709,R,668709,ST,33.0,5.0,0.152,0.095,0.29528947368421055,0.674,0.272,82.98260869565217,0.286,23,0.043,0.217,0.304,0.13,0.478,0.3,0.1,1,1,1,2,PHI@CIN,CIN,PHI,3
31,Eugenio Suarez,553993,R,553993,CU,85.0,18.0,0.212,0.172,0.3016129032258064,0.695,0.212,88.62444444444444,0.4,45,0.133,0.311,0.289,0.311,0.356,0.448,0.052,8,6,0,4,PHI@CIN,CIN,PHI,4
33,Eugenio Suarez,553993,R,553993,FC,97.0,31.0,0.32,0.169,0.4232549019607843,1.023,0.35000000000000003,88.80958904109589,0.575,73,0.137,0.466,0.356,0.205,0.342,0.235,0.049,15,7,0,9,PHI@CIN,CIN,PHI,4
34,Eugenio Suarez,553993,R,553993,FF,435.0,103.0,0.237,0.133,0.33705555555555555,0.787,0.237,93.27029702970297,0.606,303,0.162,0.521,0.231,0.261,0.426,0.28,0.077,56,18,2,27,PHI@CIN,CIN,PHI,4
35,Eugenio Suarez,553993,R,553993,FS,45.0,9.0,0.2,0.247,0.2538333333333333,0.583,0.133,88.21666666666667,0.4,18,0.111,0.222,0.389,0.222,0.333,0.562,0.021,5,3,0,1,PHI@CIN,CIN,PHI,4
37,Eugenio Suarez,553993,R,553993,SI,320.0,90.0,0.281,0.085,0.3277162534435262,0.738,0.09399999999999997,85.22583025830258,0.416,271,0.066,0.351,0.472,0.247,0.214,0.142,0.082,74,9,0,7,PHI@CIN,CIN,PHI,4
39,Eugenio Suarez,553993,R,553993,ST,113.0,21.0,0.186,0.179,0.27326612903225805,0.624,0.186,83.43243243243244,0.488,74,0.068,0.338,0.27,0.176,0.405,0.331,0.063,8,9,0,4,PHI@CIN,CIN,PHI,4
43,Nathaniel Lowe,663993,R,663993,CU,118.0,28.0,0.237,0.102,0.33236923076923075,0.78,0.238,90.98795180722891,0.651,83,0.12,0.47,0.434,0.217,0.301,0.275,0.076,16,4,0,8,PHI@CIN,CIN,PHI,5
45,Nathaniel Lowe,663993,R,663993,FC,120.0,35.0,0.292,0.075,0.37578832116788324,0.88,0.20800000000000002,87.61980198019802,0.565,101,0.089,0.396,0.436,0.238,0.218,0.139,0.117,19,11,1,4,PHI@CIN,CIN,PHI,5
46,Nathaniel Lowe,663993,R,663993,FF,518.0,147.0,0.284,0.099,0.36179934747145187,0.826,0.14800000000000002,88.83532608695653,0.427,368,0.06,0.402,0.386,0.326,0.247,0.246,0.148,103,26,3,15,PHI@CIN,CIN,PHI,5
47,Nathaniel Lowe,663993,R,663993,FS,69.0,16.0,0.232,0.125,0.2850394736842105,0.643,0.11599999999999996,88.66799999999999,0.778,50,0.04,0.48,0.64,0.22,0.14,0.269,0.09,12,2,0,2,PHI@CIN,CIN,PHI,5
49,Nathaniel Lowe,663993,R,663993,SI,160.0,41.0,0.256,0.06,0.3294787234042553,0.742,0.119,92.26031746031745,0.592,126,0.063,0.532,0.603,0.254,0.135,0.181,0.144,29,8,1,3,PHI@CIN,CIN,PHI,5
51,Nathaniel Lowe,663993,R,663993,ST,47.0,12.0,0.255,0.093,0.33812727272727267,0.768,0.14900000000000002,85.05172413793103,0.222,29,0.0,0.241,0.31,0.379,0.241,0.327,0.127,7,4,0,1,PHI@CIN,CIN,PHI,5
55,Spencer Steer,668715,R,668715,CU,93.0,24.0,0.258,0.118,0.3163163265306122,0.748,0.194,85.58939393939393,0.321,66,0.061,0.288,0.485,0.167,0.258,0.276,0.051,14,6,0,4,PHI@CIN,CIN,PHI,6
57,Spencer Steer,668715,R,668715,FC,108.0,31.0,0.287,0.12,0.3805873015873016,0.889,0.21300000000000002,85.06263736263736,0.435,91,0.055,0.297,0.363,0.253,0.253,0.135,0.135,19,6,1,5,PHI@CIN,CIN,PHI,6
58,Spencer Steer,668715,R,668715,FF,383.0,82.0,0.214,0.111,0.319221978021978,0.719,0.167,90.74015748031496,0.547,254,0.122,0.445,0.248,0.272,0.354,0.284,0.13,49,15,5,13,PHI@CIN,CIN,PHI,6
59,Spencer Steer,668715,R,668715,FS,44.0,9.0,0.205,0.188,0.2317608695652174,0.534,0.09,89.48076923076923,0.412,26,0.038,0.385,0.308,0.346,0.308,0.391,0.043,5,4,0,0,PHI@CIN,CIN,PHI,6
62,Spencer Steer,668715,R,668715,SI,370.0,94.0,0.254,0.066,0.32292086330935255,0.736,0.14900000000000002,85.55331325301205,0.515,332,0.054,0.392,0.5,0.196,0.208,0.104,0.092,66,14,1,13,PHI@CIN,CIN,PHI,6
64,Spencer Steer,668715,R,668715,ST,123.0,30.0,0.244,0.116,0.3184765625,0.761,0.244,85.20212765957447,0.373,94,0.085,0.234,0.33,0.223,0.319,0.227,0.039,16,6,0,8,PHI@CIN,CIN,PHI,6
67,Jose Trevino,624431,R,624431,CU,45.0,8.0,0.178,0.098,0.1952222222222222,0.467,0.11099999999999999,81.18205128205128,0.333,39,0.051,0.256,0.538,0.154,0.231,0.133,0.0,5,2,0,1,PHI@CIN,CIN,PHI,7
69,Jose Trevino,624431,R,624431,FC,49.0,21.0,0.429,0.105,0.5084313725490196,1.218,0.34700000000000003,84.13181818181819,0.6,44,0.114,0.386,0.455,0.205,0.25,0.115,0.038,14,2,0,5,PHI@CIN,CIN,PHI,7
70,Jose Trevino,624431,R,624431,FF,126.0,27.0,0.214,0.066,0.2477080291970803,0.549,0.06400000000000003,91.0933962264151,0.525,106,0.038,0.434,0.34,0.283,0.292,0.164,0.064,21,5,0,1,PHI@CIN,CIN,PHI,7
71,Jose Trevino,624431,R,624431,FS,10.0,3.0,0.3,0.2,0.3351,0.8,0.2,91.67142857142858,0.333,7,0.0,0.429,0.571,0.286,0.143,0.3,0.0,1,2,0,0,PHI@CIN,CIN,PHI,7
72,Jose Trevino,624431,R,624431,SI,96.0,27.0,0.281,0.016,0.30606603773584906,0.69,0.06299999999999994,84.86704545454546,0.464,88,0.011,0.409,0.682,0.205,0.114,0.084,0.084,21,6,0,0,PHI@CIN,CIN,PHI,7
74,Jose Trevino,624431,R,624431,ST,53.0,9.0,0.17,0.12,0.16268518518518518,0.371,0.01899999999999999,77.91578947368421,0.235,38,0.026,0.158,0.474,0.211,0.237,0.291,0.018,8,1,0,0,PHI@CIN,CIN,PHI,7
77,TJ Friedl,670770,R,670770,CU,95.0,18.0,0.189,0.08,0.31031192660550455,0.702,0.23199999999999998,84.42575757575759,0.44,66,0.061,0.303,0.576,0.136,0.242,0.298,0.079,8,4,0,6,PHI@CIN,CIN,PHI,8
79,TJ Friedl,670770,R,670770,FC,84.0,25.0,0.298,0.043,0.40945544554455443,0.948,0.25000000000000006,85.34430379746836,0.404,79,0.038,0.392,0.342,0.266,0.329,0.086,0.133,14,5,2,4,PHI@CIN,CIN,PHI,8
80,TJ Friedl,670770,R,670770,FF,444.0,117.0,0.264,0.045,0.34577192982456145,0.789,0.16799999999999998,85.98860759493671,0.327,395,0.035,0.327,0.296,0.256,0.301,0.109,0.115,80,17,2,18,PHI@CIN,CIN,PHI,8
81,TJ Friedl,670770,R,670770,FS,63.0,9.0,0.143,0.166,0.18315151515151512,0.412,0.095,81.43061224489796,0.333,49,0.02,0.245,0.592,0.265,0.102,0.246,0.029,6,1,1,1,PHI@CIN,CIN,PHI,8
83,TJ Friedl,670770,R,670770,SI,152.0,52.0,0.342,0.023,0.40188202247191007,0.924,0.15099999999999997,86.96785714285714,0.452,140,0.029,0.407,0.443,0.314,0.207,0.083,0.133,38,9,1,4,PHI@CIN,CIN,PHI,8
85,TJ Friedl,670770,R,670770,ST,37.0,5.0,0.135,0.096,0.19626190476190478,0.395,0.026999999999999996,77.73214285714286,0.385,28,0.0,0.25,0.464,0.179,0.286,0.233,0.047,4,1,0,0,PHI@CIN,CIN,PHI,8
88,Matt McLain,680574,R,680574,CU,70.0,12.0,0.171,0.105,0.22387179487179487,0.485,0.057999999999999996,85.97608695652174,0.4,46,0.022,0.304,0.543,0.174,0.261,0.308,0.051,9,2,1,0,PHI@CIN,CIN,PHI,9
90,Matt McLain,680574,R,680574,FC,36.0,12.0,0.333,0.121,0.33602499999999996,0.761,0.02799999999999997,84.98888888888888,0.438,27,0.037,0.296,0.37,0.37,0.222,0.225,0.1,11,1,0,0,PHI@CIN,CIN,PHI,9
91,Matt McLain,680574,R,680574,FF,218.0,54.0,0.248,0.118,0.36624904214559384,0.844,0.22899999999999998,90.77552447552448,0.67,143,0.154,0.51,0.273,0.245,0.371,0.295,0.155,30,11,0,13,PHI@CIN,CIN,PHI,9
92,Matt McLain,680574,R,680574,FS,20.0,3.0,0.15,0.162,0.1479,0.35,0.05000000000000002,83.26923076923077,0.75,13,0.0,0.308,0.538,0.154,0.154,0.35,0.0,2,1,0,0,PHI@CIN,CIN,PHI,9
95,Matt McLain,680574,R,680574,SI,205.0,57.0,0.278,0.055,0.34135622317596565,0.782,0.14199999999999996,88.83529411764705,0.6,170,0.082,0.488,0.535,0.224,0.188,0.157,0.102,40,10,2,5,PHI@CIN,CIN,PHI,9
97,Matt McLain,680574,R,680574,ST,92.0,17.0,0.185,0.12,0.22128124999999998,0.512,0.10799999999999998,86.25333333333333,0.378,60,0.083,0.267,0.267,0.167,0.45,0.333,0.031,11,4,0,2,PHI@CIN,CIN,PHI,9
1,Travis Bazzana,683953,R,683953,CU,7.0,5.0,0.714,0.034,0.6768888888888889,1.635,0.14300000000000002,92.06666666666666,0.5,6,0.0,0.333,0.667,0.333,0.0,0.111,0.111,4,1,0,0,CLE@MIN,CLE,MIN,1
2,Travis Bazzana,683953,R,683953,FC,9.0,2.0,0.222,0.103,0.38336363636363635,0.889,0.3340000000000001,93.13333333333333,0.5,9,0.0,0.556,0.667,0.111,0.111,0.083,0.167,0,1,1,0,CLE@MIN,CLE,MIN,1
3,Travis Bazzana,683953,R,683953,FF,58.0,17.0,0.293,0.074,0.3884461538461539,0.916,0.25900000000000006,91.12553191489361,0.438,47,0.064,0.383,0.255,0.298,0.383,0.182,0.106,8,6,0,3,CLE@MIN,CLE,MIN,1
4,Travis Bazzana,683953,R,683953,FS,7.0,2.0,0.286,0.24,0.24428571428571427,0.572,0.0,73.28333333333333,0.5,6,0.0,0.333,0.5,0.333,0.0,0.143,0.0,2,0,0,0,CLE@MIN,CLE,MIN,1
5,Travis Bazzana,683953,R,683953,SI,14.0,7.0,0.5,0.083,0.5954444444444444,1.468,0.357,95.72857142857143,0.667,14,0.071,0.643,0.357,0.357,0.286,0.0,0.222,4,2,0,1,CLE@MIN,CLE,MIN,1
10,Chase DeLauter,800050,R,800050,CU,16.0,2.0,0.125,0.041,0.17244444444444446,0.347,0.0,89.73571428571428,0.571,14,0.0,0.5,0.286,0.143,0.357,0.111,0.111,2,0,0,0,CLE@MIN,CLE,MIN,2
12,Chase DeLauter,800050,R,800050,FC,16.0,4.0,0.25,0.09,0.35366666666666663,0.833,0.25,86.13076923076923,0.4,13,0.077,0.308,0.154,0.385,0.385,0.167,0.111,2,1,0,1,CLE@MIN,CLE,MIN,2
13,Chase DeLauter,800050,R,800050,FF,65.0,12.0,0.185,0.081,0.27067567567567563,0.603,0.138,91.90188679245283,0.478,53,0.094,0.377,0.377,0.17,0.264,0.173,0.12,7,3,0,2,CLE@MIN,CLE,MIN,2
14,Chase DeLauter,800050,R,800050,FS,12.0,2.0,0.167,0.08,0.18515384615384617,0.398,0.0,84.94545454545454,0.333,11,0.0,0.455,0.636,0.273,0.0,0.077,0.077,2,0,0,0,CLE@MIN,CLE,MIN,2
15,Chase DeLauter,800050,R,800050,SI,20.0,9.0,0.45,0.013,0.4850833333333333,1.142,0.14999999999999997,98.41052631578947,0.75,19,0.0,0.737,0.368,0.421,0.211,0.042,0.167,8,0,0,1,CLE@MIN,CLE,MIN,2
20,Kyle Manzardo,700932,R,700932,CU,60.0,16.0,0.267,0.06,0.3182089552238806,0.726,0.11599999999999999,87.77631578947368,0.478,38,0.079,0.316,0.289,0.211,0.395,0.328,0.09,11,4,0,1,CLE@MIN,CLE,MIN,3
22,Kyle Manzardo,700932,R,700932,FC,51.0,8.0,0.157,0.101,0.30972580645161285,0.689,0.23500000000000001,91.51,0.76,40,0.1,0.55,0.25,0.125,0.5,0.203,0.141,4,0,0,4,CLE@MIN,CLE,MIN,3
23,Kyle Manzardo,700932,R,700932,FF,234.0,61.0,0.261,0.128,0.34714661654135337,0.804,0.196,91.40602409638554,0.482,166,0.12,0.446,0.211,0.253,0.422,0.261,0.108,38,11,1,11,CLE@MIN,CLE,MIN,3
24,Kyle Manzardo,700932,R,700932,FS,45.0,10.0,0.222,0.215,0.26726666666666665,0.644,0.19999999999999998,84.384,0.714,25,0.12,0.4,0.72,0.04,0.24,0.444,0.0,7,0,0,3,CLE@MIN,CLE,MIN,3
26,Kyle Manzardo,700932,R,700932,SI,78.0,17.0,0.218,0.101,0.3495494505494505,0.817,0.269,93.6875,0.576,56,0.107,0.5,0.339,0.268,0.321,0.242,0.121,6,6,0,5,CLE@MIN,CLE,MIN,3
31,Kahlil Watson,696135,R,696135,CU,2.0,1.0,0.5,0.118,0.4275,1.0,0.0,95.9,0.0,1,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1,0,0,0,CLE@MIN,CLE,MIN,4
32,Kahlil Watson,696135,R,696135,FC,6.0,0.0,0.0,0.143,0.0,0.0,0.0,88.8,0.25,5,0.0,0.2,0.2,0.2,0.6,0.167,0.0,0,0,0,0,CLE@MIN,CLE,MIN,4
33,Kahlil Watson,696135,R,696135,FF,18.0,5.0,0.278,0.154,0.34336842105263155,0.816,0.22199999999999998,84.45,0.6,12,0.167,0.417,0.5,0.167,0.25,0.316,0.053,3,1,0,1,CLE@MIN,CLE,MIN,4
34,Kahlil Watson,696135,R,696135,SI,2.0,1.0,0.5,0.0,0.4275,1.0,0.0,81.5,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,CLE@MIN,CLE,MIN,4
38,Brayan Rocchio,677587,R,677587,CU,72.0,16.0,0.222,0.164,0.2235890410958904,0.525,0.06999999999999998,83.8,0.35,45,0.022,0.244,0.556,0.267,0.178,0.37,0.014,13,2,0,1,CLE@MIN,CLE,MIN,5
39,Brayan Rocchio,677587,R,677587,FC,61.0,20.0,0.328,0.077,0.3602878787878787,0.827,0.131,78.98947368421052,0.241,57,0.035,0.228,0.456,0.281,0.228,0.088,0.029,16,2,0,2,CLE@MIN,CLE,MIN,5
40,Brayan Rocchio,677587,R,677587,FF,241.0,65.0,0.27,0.058,0.3377562724014337,0.762,0.128,87.99905660377358,0.4,212,0.033,0.358,0.34,0.259,0.33,0.117,0.124,44,16,0,5,CLE@MIN,CLE,MIN,5
41,Brayan Rocchio,677587,R,677587,FS,49.0,10.0,0.204,0.178,0.21638,0.506,0.08199999999999999,81.3108108108108,0.562,37,0.0,0.378,0.568,0.297,0.135,0.24,0.02,6,4,0,0,CLE@MIN,CLE,MIN,5
42,Brayan Rocchio,677587,R,677587,SI,98.0,30.0,0.306,0.056,0.3347798165137615,0.751,0.08200000000000002,88.80416666666667,0.386,96,0.031,0.375,0.531,0.25,0.208,0.053,0.088,22,8,0,0,CLE@MIN,CLE,MIN,5
47,Cooper Ingle,694876,R,694876,CU,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.16666666666667,0.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,CLE@MIN,CLE,MIN,6
48,Cooper Ingle,694876,R,694876,FC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,CLE@MIN,CLE,MIN,6
49,Cooper Ingle,694876,R,694876,FF,3.0,0.0,0.0,0.067,0.3485,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,0,0,0,CLE@MIN,CLE,MIN,6
50,Cooper Ingle,694876,R,694876,FS,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,CLE@MIN,CLE,MIN,6
51,Cooper Ingle,694876,R,694876,SI,3.0,1.0,0.333,0.111,0.285,0.666,0.0,97.85,1.0,2,0.0,1.0,0.5,0.5,0.0,0.333,0.0,1,0,0,0,CLE@MIN,CLE,MIN,6
