,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,LD%,FB%,K%,BB%,Game,Team,Opp
1,Brenton Doyle,686668,R,686668,CU,58.0,10.0,0.172,0.2561311475409836,0.603,0.22500000000000003,85.5764705882353,0.562,34,0.206,0.353,0.147,0.324,0.413,0.048,MIL@COL,COL,MIL
4,Brenton Doyle,686668,R,686668,FF,214.0,47.0,0.22,0.2801587982832618,0.642,0.144,91.93285714285715,0.595,140,0.107,0.529,0.264,0.336,0.329,0.076,MIL@COL,COL,MIL
7,Brenton Doyle,686668,R,686668,SI,131.0,45.0,0.344,0.38866666666666666,0.896,0.14500000000000002,85.09454545454545,0.486,110,0.1,0.336,0.209,0.127,0.16,0.08,MIL@COL,COL,MIL
8,Brenton Doyle,686668,R,686668,SL,157.0,26.0,0.166,0.21991515151515148,0.511,0.13999999999999999,83.35490196078432,0.431,102,0.078,0.314,0.186,0.314,0.337,0.048,MIL@COL,COL,MIL
11,Zac Veen,691728,R,691728,CH,1.0,0.0,0.0,0.0,0.0,0.0,87.3,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,MIL@COL,COL,MIL
12,Zac Veen,691728,R,691728,FF,3.0,0.0,0.0,0.0,0.0,0.0,92.8,0.0,1,0.0,0.0,0.0,1.0,0.667,0.0,MIL@COL,COL,MIL
13,Zac Veen,691728,R,691728,SI,1.0,1.0,1.0,0.855,2.0,0.0,54.3,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,MIL@COL,COL,MIL
14,Zac Veen,691728,R,691728,SL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,MIL@COL,COL,MIL
15,Kyle Farmer,571657,R,571657,CH,13.0,3.0,0.231,0.40970588235294114,0.95,0.30700000000000005,88.88,0.571,10,0.1,0.4,0.4,0.3,0.176,0.118,MIL@COL,COL,MIL
16,Kyle Farmer,571657,R,571657,CU,24.0,2.0,0.083,0.15956,0.37,0.16699999999999998,87.15384615384616,0.429,13,0.0,0.308,0.154,0.385,0.44,0.0,MIL@COL,COL,MIL
19,Kyle Farmer,571657,R,571657,FF,95.0,17.0,0.179,0.24154128440366968,0.511,0.05300000000000002,88.33,0.462,70,0.029,0.329,0.257,0.3,0.243,0.099,MIL@COL,COL,MIL
22,Kyle Farmer,571657,R,571657,SI,56.0,13.0,0.232,0.25965573770491807,0.581,0.053999999999999965,80.15957446808511,0.312,47,0.021,0.17,0.255,0.085,0.148,0.049,MIL@COL,COL,MIL
23,Kyle Farmer,571657,R,571657,SL,92.0,24.0,0.261,0.31524489795918365,0.738,0.174,83.84857142857142,0.457,70,0.057,0.257,0.2,0.3,0.232,0.051,MIL@COL,COL,MIL
26,Ryan McMahon,641857,R,641857,CH,136.0,34.0,0.25,0.312751724137931,0.734,0.191,89.79107142857143,0.556,112,0.098,0.42,0.188,0.295,0.177,0.061,MIL@COL,COL,MIL
27,Ryan McMahon,641857,R,641857,CU,91.0,23.0,0.253,0.32607291666666666,0.776,0.23099999999999998,88.62241379310345,0.618,58,0.19,0.466,0.276,0.31,0.344,0.052,MIL@COL,COL,MIL
29,Ryan McMahon,641857,R,641857,FF,265.0,71.0,0.268,0.3596129032258065,0.828,0.189,94.35786163522012,0.535,159,0.132,0.541,0.327,0.308,0.345,0.144,MIL@COL,COL,MIL
35,Ryan McMahon,641857,R,641857,SI,56.0,9.0,0.161,0.28782608695652173,0.623,0.143,92.03255813953488,0.409,43,0.14,0.488,0.279,0.233,0.188,0.188,MIL@COL,COL,MIL
36,Ryan McMahon,641857,R,641857,SL,117.0,26.0,0.222,0.31488235294117645,0.709,0.163,91.65076923076923,0.667,65,0.138,0.508,0.262,0.2,0.388,0.129,MIL@COL,COL,MIL
39,Nick Martini,605361,R,605361,CH,21.0,7.0,0.333,0.3037142857142857,0.714,0.04799999999999999,90.995,0.429,20,0.05,0.4,0.2,0.15,0.048,0.0,MIL@COL,COL,MIL
40,Nick Martini,605361,R,605361,CU,11.0,4.0,0.364,0.48172727272727267,1.182,0.45399999999999996,87.57142857142857,0.5,7,0.143,0.429,0.429,0.429,0.364,0.0,MIL@COL,COL,MIL
42,Nick Martini,605361,R,605361,FF,79.0,13.0,0.165,0.25705555555555554,0.568,0.13899999999999998,89.33571428571429,0.515,56,0.089,0.429,0.214,0.375,0.264,0.088,MIL@COL,COL,MIL
46,Nick Martini,605361,R,605361,SI,25.0,6.0,0.24,0.33782758620689657,0.763,0.2,87.11428571428571,0.333,21,0.048,0.333,0.238,0.333,0.194,0.129,MIL@COL,COL,MIL
47,Nick Martini,605361,R,605361,SL,20.0,9.0,0.45,0.5203,1.25,0.35000000000000003,85.79375,0.455,16,0.062,0.438,0.25,0.438,0.2,0.0,MIL@COL,COL,MIL
50,Michael Toglia,669911,R,669911,CH,47.0,4.0,0.085,0.12189795918367345,0.269,0.06399999999999999,85.7,0.278,32,0.062,0.25,0.344,0.219,0.3,0.04,MIL@COL,COL,MIL
51,Michael Toglia,669911,R,669911,CU,46.0,4.0,0.087,0.136734693877551,0.295,0.065,94.86428571428571,0.667,14,0.286,0.571,0.357,0.286,0.653,0.041,MIL@COL,COL,MIL
53,Michael Toglia,669911,R,669911,FF,140.0,34.0,0.243,0.36646012269938644,0.864,0.271,91.34086021505377,0.545,93,0.183,0.484,0.204,0.505,0.288,0.135,MIL@COL,COL,MIL
57,Michael Toglia,669911,R,669911,SI,30.0,10.0,0.333,0.47041176470588236,1.145,0.39999999999999997,94.61538461538461,0.7,26,0.115,0.615,0.154,0.231,0.118,0.118,MIL@COL,COL,MIL
58,Michael Toglia,669911,R,669911,SL,66.0,12.0,0.182,0.25852857142857144,0.604,0.197,94.403125,0.654,32,0.188,0.625,0.281,0.531,0.493,0.056,MIL@COL,COL,MIL
61,Tyler Freeman,671289,R,671289,CH,17.0,3.0,0.176,0.23579999999999995,0.462,0.0,86.15333333333334,0.2,15,0.0,0.333,0.2,0.133,0.143,0.048,MIL@COL,COL,MIL
62,Tyler Freeman,671289,R,671289,CU,27.0,8.0,0.296,0.33864285714285713,0.802,0.185,89.09545454545454,0.667,22,0.045,0.5,0.273,0.136,0.179,0.036,MIL@COL,COL,MIL
65,Tyler Freeman,671289,R,671289,FF,87.0,17.0,0.195,0.24949504950495047,0.516,0.022999999999999993,85.1056338028169,0.409,71,0.014,0.338,0.282,0.338,0.183,0.096,MIL@COL,COL,MIL
68,Tyler Freeman,671289,R,671289,SI,62.0,17.0,0.274,0.32268115942028985,0.725,0.11299999999999999,86.51851851851852,0.462,54,0.019,0.407,0.167,0.074,0.141,0.042,MIL@COL,COL,MIL
69,Tyler Freeman,671289,R,671289,SL,60.0,16.0,0.267,0.3187878787878788,0.724,0.133,85.03571428571429,0.32,56,0.018,0.339,0.304,0.143,0.088,0.029,MIL@COL,COL,MIL
72,Mickey Moniak,666160,R,666160,CH,106.0,33.0,0.311,0.338196261682243,0.806,0.18,85.47931034482758,0.395,87,0.057,0.333,0.218,0.218,0.185,0.009,MIL@COL,COL,MIL
73,Mickey Moniak,666160,R,666160,CU,74.0,18.0,0.243,0.31314285714285717,0.746,0.22999999999999998,86.49111111111111,0.609,45,0.133,0.356,0.222,0.289,0.377,0.026,MIL@COL,COL,MIL
75,Mickey Moniak,666160,R,666160,FF,210.0,46.0,0.219,0.3127787610619469,0.741,0.24800000000000003,92.64598540145985,0.575,137,0.182,0.489,0.226,0.409,0.323,0.066,MIL@COL,COL,MIL
79,Mickey Moniak,666160,R,666160,SI,25.0,10.0,0.4,0.4304615384615384,1.023,0.19999999999999996,94.26818181818182,0.467,22,0.182,0.545,0.455,0.227,0.115,0.038,MIL@COL,COL,MIL
80,Mickey Moniak,666160,R,666160,SL,86.0,20.0,0.233,0.2858351648351648,0.67,0.162,90.16326530612245,0.438,49,0.102,0.408,0.286,0.367,0.407,0.044,MIL@COL,COL,MIL
83,Jacob Stallings,607732,R,607732,CH,10.0,4.0,0.4,0.5877272727272728,1.455,0.6,80.46000000000001,1.0,5,0.4,0.6,0.2,0.4,0.455,0.0,MIL@COL,COL,MIL
84,Jacob Stallings,607732,R,607732,CU,19.0,5.0,0.263,0.2886666666666667,0.649,0.05299999999999999,90.14999999999999,0.0,12,0.0,0.5,0.083,0.25,0.333,0.095,MIL@COL,COL,MIL
87,Jacob Stallings,607732,R,607732,FF,115.0,27.0,0.235,0.30930597014925376,0.689,0.11299999999999999,86.64651162790697,0.553,86,0.07,0.465,0.233,0.314,0.222,0.133,MIL@COL,COL,MIL
91,Jacob Stallings,607732,R,607732,SI,61.0,13.0,0.213,0.3269333333333333,0.721,0.148,89.86734693877551,0.632,49,0.041,0.469,0.224,0.163,0.16,0.12,MIL@COL,COL,MIL
92,Jacob Stallings,607732,R,607732,SL,90.0,14.0,0.156,0.17372340425531918,0.389,0.04400000000000001,79.08387096774193,0.31,62,0.048,0.226,0.242,0.226,0.305,0.042,MIL@COL,COL,MIL
0,Bo Bichette,666182,R,666182,CH,34.0,10.0,0.294,0.40611111111111103,0.98,0.35300000000000004,90.83214285714287,0.667,28,0.107,0.464,0.214,0.321,0.167,0.056,TOR@BOS,TOR,BOS
1,Bo Bichette,666182,R,666182,CU,53.0,16.0,0.302,0.36041509433962265,0.868,0.26399999999999996,87.02250000000001,0.545,40,0.175,0.45,0.25,0.3,0.245,0.0,TOR@BOS,TOR,BOS
3,Bo Bichette,666182,R,666182,FC,57.0,19.0,0.333,0.33724193548387094,0.773,0.05299999999999999,86.28367346938775,0.44,49,0.0,0.388,0.367,0.143,0.129,0.081,TOR@BOS,TOR,BOS
4,Bo Bichette,666182,R,666182,FF,171.0,54.0,0.316,0.3670213903743316,0.859,0.16899999999999998,92.95263157894738,0.714,133,0.083,0.624,0.338,0.188,0.203,0.064,TOR@BOS,TOR,BOS
7,Bo Bichette,666182,R,666182,SI,174.0,53.0,0.305,0.32209090909090904,0.742,0.08600000000000002,89.15359477124183,0.48,153,0.059,0.477,0.268,0.059,0.117,0.069,TOR@BOS,TOR,BOS
8,Bo Bichette,666182,R,666182,SL,195.0,44.0,0.226,0.255555,0.6,0.13299999999999998,88.01013513513513,0.39,148,0.088,0.324,0.338,0.216,0.246,0.025,TOR@BOS,TOR,BOS
9,Bo Bichette,666182,R,666182,ST,59.0,14.0,0.237,0.25714754098360654,0.601,0.10200000000000004,83.66585365853659,0.179,41,0.024,0.195,0.317,0.366,0.295,0.016,TOR@BOS,TOR,BOS
11,Vladimir Guerrero Jr.,665489,R,665489,CH,78.0,20.0,0.256,0.3322209302325581,0.775,0.193,92.39166666666667,0.682,60,0.117,0.55,0.2,0.167,0.209,0.07,TOR@BOS,TOR,BOS
12,Vladimir Guerrero Jr.,665489,R,665489,CU,57.0,16.0,0.281,0.32729508196721313,0.762,0.15799999999999997,92.25510204081633,0.609,49,0.102,0.469,0.327,0.143,0.145,0.065,TOR@BOS,TOR,BOS
14,Vladimir Guerrero Jr.,665489,R,665489,FC,86.0,30.0,0.349,0.381936170212766,0.888,0.139,93.34078947368421,0.657,76,0.079,0.513,0.316,0.145,0.116,0.084,TOR@BOS,TOR,BOS
15,Vladimir Guerrero Jr.,665489,R,665489,FF,242.0,71.0,0.293,0.3826996336996337,0.901,0.23600000000000004,93.61979166666667,0.632,192,0.182,0.557,0.286,0.323,0.186,0.102,TOR@BOS,TOR,BOS
20,Vladimir Guerrero Jr.,665489,R,665489,SI,234.0,73.0,0.312,0.35683524904214553,0.82,0.128,92.97511520737326,0.553,217,0.092,0.548,0.272,0.12,0.072,0.076,TOR@BOS,TOR,BOS
21,Vladimir Guerrero Jr.,665489,R,665489,SL,218.0,64.0,0.294,0.3705169491525424,0.875,0.23800000000000004,92.28750000000001,0.527,184,0.114,0.467,0.255,0.25,0.155,0.075,TOR@BOS,TOR,BOS
22,Vladimir Guerrero Jr.,665489,R,665489,ST,87.0,23.0,0.264,0.3481595744680851,0.825,0.242,93.26811594202898,0.634,69,0.188,0.522,0.275,0.319,0.191,0.064,TOR@BOS,TOR,BOS
24,Anthony Santander,623993,R,623993,CH,127.0,28.0,0.22,0.30770714285714285,0.716,0.205,87.93235294117648,0.491,102,0.078,0.422,0.275,0.284,0.184,0.092,TOR@BOS,TOR,BOS
25,Anthony Santander,623993,R,623993,CU,76.0,21.0,0.276,0.3562875,0.852,0.263,89.92321428571428,0.514,56,0.143,0.482,0.179,0.446,0.25,0.05,TOR@BOS,TOR,BOS
26,Anthony Santander,623993,R,623993,FC,89.0,25.0,0.281,0.360039603960396,0.838,0.19099999999999995,87.04861111111111,0.514,72,0.069,0.361,0.25,0.264,0.168,0.089,TOR@BOS,TOR,BOS
27,Anthony Santander,623993,R,623993,FF,303.0,66.0,0.218,0.3079604863221884,0.723,0.228,89.52775330396476,0.546,227,0.11,0.388,0.194,0.33,0.238,0.075,TOR@BOS,TOR,BOS
30,Anthony Santander,623993,R,623993,SI,107.0,30.0,0.28,0.3774188034188034,0.903,0.281,91.83191489361703,0.604,94,0.117,0.489,0.223,0.287,0.111,0.085,TOR@BOS,TOR,BOS
31,Anthony Santander,623993,R,623993,SL,124.0,30.0,0.242,0.34501459854014593,0.812,0.258,89.48602150537636,0.5,93,0.086,0.398,0.194,0.344,0.232,0.065,TOR@BOS,TOR,BOS
32,Anthony Santander,623993,R,623993,ST,33.0,9.0,0.273,0.38954054054054055,0.918,0.30299999999999994,90.03103448275863,0.438,29,0.103,0.414,0.207,0.345,0.132,0.053,TOR@BOS,TOR,BOS
34,Andres Gimenez,665926,R,665926,CH,130.0,27.0,0.208,0.24097080291970802,0.554,0.1,81.77857142857144,0.32,112,0.045,0.214,0.295,0.152,0.138,0.051,TOR@BOS,TOR,BOS
35,Andres Gimenez,665926,R,665926,CU,93.0,27.0,0.29,0.33508163265306123,0.785,0.17200000000000004,87.88507462686567,0.344,67,0.06,0.343,0.299,0.179,0.273,0.03,TOR@BOS,TOR,BOS
37,Andres Gimenez,665926,R,665926,FC,63.0,18.0,0.286,0.3466911764705882,0.809,0.19,83.30754716981133,0.308,53,0.019,0.226,0.34,0.151,0.159,0.029,TOR@BOS,TOR,BOS
38,Andres Gimenez,665926,R,665926,FF,271.0,71.0,0.262,0.33320723684210524,0.766,0.16599999999999998,88.19732142857143,0.427,224,0.054,0.375,0.241,0.312,0.166,0.091,TOR@BOS,TOR,BOS
42,Andres Gimenez,665926,R,665926,SI,82.0,27.0,0.329,0.36447126436781613,0.852,0.15899999999999997,85.9974358974359,0.385,78,0.064,0.333,0.141,0.192,0.057,0.023,TOR@BOS,TOR,BOS
43,Andres Gimenez,665926,R,665926,SL,109.0,22.0,0.202,0.2584590163934426,0.562,0.08199999999999996,84.27674418604651,0.357,86,0.035,0.256,0.233,0.256,0.214,0.048,TOR@BOS,TOR,BOS
44,Andres Gimenez,665926,R,665926,ST,49.0,13.0,0.265,0.2762941176470588,0.641,0.08199999999999996,85.77105263157895,0.231,38,0.0,0.237,0.132,0.211,0.216,0.02,TOR@BOS,TOR,BOS
46,Will Wagner,695238,R,695238,CH,15.0,7.0,0.467,0.4514000000000001,1.067,0.13299999999999995,90.73076923076923,0.8,13,0.154,0.538,0.308,0.077,0.133,0.0,TOR@BOS,TOR,BOS
47,Will Wagner,695238,R,695238,CU,7.0,5.0,0.714,0.6668571428571429,1.571,0.14300000000000002,90.68333333333334,0.6,6,0.0,0.5,0.833,0.0,0.143,0.0,TOR@BOS,TOR,BOS
49,Will Wagner,695238,R,695238,FC,8.0,0.0,0.0,0.07744444444444444,0.111,0.0,79.35714285714286,0.0,7,0.0,0.143,0.0,0.286,0.111,0.111,TOR@BOS,TOR,BOS
50,Will Wagner,695238,R,695238,FF,29.0,11.0,0.379,0.3933030303030303,0.903,0.069,89.48695652173912,0.455,23,0.087,0.565,0.304,0.174,0.182,0.121,TOR@BOS,TOR,BOS
52,Will Wagner,695238,R,695238,SI,10.0,2.0,0.2,0.2545454545454545,0.573,0.09999999999999998,91.38888888888889,0.2,9,0.0,0.333,0.333,0.222,0.091,0.091,TOR@BOS,TOR,BOS
53,Will Wagner,695238,R,695238,SL,9.0,0.0,0.0,0.0697,0.1,0.0,96.10000000000001,1.0,6,0.0,0.667,0.167,0.0,0.3,0.1,TOR@BOS,TOR,BOS
54,Will Wagner,695238,R,695238,ST,4.0,0.0,0.0,0.0,0.0,0.0,98.2,1.0,3,0.333,1.0,1.0,0.0,0.25,0.0,TOR@BOS,TOR,BOS
55,Alejandro Kirk,672386,R,672386,CH,34.0,9.0,0.265,0.31705405405405407,0.736,0.14699999999999996,86.4121212121212,0.583,33,0.091,0.394,0.212,0.152,0.027,0.081,TOR@BOS,TOR,BOS
56,Alejandro Kirk,672386,R,672386,CU,48.0,11.0,0.229,0.21231250000000002,0.483,0.04200000000000001,88.68809523809524,0.412,42,0.048,0.333,0.214,0.19,0.192,0.0,TOR@BOS,TOR,BOS
58,Alejandro Kirk,672386,R,672386,FC,44.0,11.0,0.25,0.293695652173913,0.692,0.15899999999999997,88.24615384615385,0.5,39,0.051,0.359,0.308,0.205,0.109,0.043,TOR@BOS,TOR,BOS
59,Alejandro Kirk,672386,R,672386,FF,124.0,32.0,0.258,0.3218724832214765,0.698,0.065,91.42410714285714,0.614,112,0.08,0.545,0.241,0.268,0.099,0.158,TOR@BOS,TOR,BOS
61,Alejandro Kirk,672386,R,672386,SI,131.0,34.0,0.26,0.30363698630136987,0.682,0.09099999999999997,89.2709677419355,0.5,124,0.056,0.427,0.242,0.194,0.061,0.068,TOR@BOS,TOR,BOS
62,Alejandro Kirk,672386,R,672386,SL,108.0,27.0,0.25,0.2844273504273504,0.646,0.09300000000000003,88.94687499999999,0.395,96,0.052,0.417,0.25,0.146,0.118,0.067,TOR@BOS,TOR,BOS
63,Alejandro Kirk,672386,R,672386,ST,33.0,7.0,0.212,0.2692432432432432,0.6,0.091,89.675,0.294,28,0.036,0.429,0.321,0.286,0.135,0.081,TOR@BOS,TOR,BOS
65,Alan Roden,702176,R,702176,CH,6.0,1.0,0.167,0.1425,0.31,0.0,87.47999999999999,0.5,5,0.0,0.4,0.0,0.4,0.286,0.0,TOR@BOS,TOR,BOS
66,Alan Roden,702176,R,702176,CU,1.0,0.0,0.0,0.3635,0.5,0.0,49.8,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,TOR,BOS
67,Alan Roden,702176,R,702176,FC,1.0,0.0,0.0,0.0,0.0,0.0,83.6,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,TOR,BOS
68,Alan Roden,702176,R,702176,FF,7.0,1.0,0.143,0.12214285714285714,0.286,0.0,81.84,0.0,5,0.0,0.4,0.2,0.0,0.286,0.0,TOR@BOS,TOR,BOS
70,Alan Roden,702176,R,702176,SI,3.0,1.0,0.333,0.285,0.666,0.0,87.60000000000001,0.0,3,0.0,0.0,0.333,0.0,0.0,0.0,TOR@BOS,TOR,BOS
71,Alan Roden,702176,R,702176,SL,5.0,3.0,0.6,0.6821428571428572,1.714,0.4,99.3,0.75,5,0.0,0.8,0.6,0.2,0.0,0.143,TOR@BOS,TOR,BOS
72,Alan Roden,702176,R,702176,ST,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,TOR@BOS,TOR,BOS
73,Ernie Clement,676391,R,676391,CH,14.0,5.0,0.357,0.4162142857142857,1.0,0.28600000000000003,88.40833333333335,0.5,12,0.0,0.417,0.25,0.25,0.143,0.0,TOR@BOS,TOR,BOS
74,Ernie Clement,676391,R,676391,CU,25.0,4.0,0.16,0.1368,0.32,0.0,80.81363636363636,0.0,22,0.0,0.091,0.136,0.318,0.12,0.0,TOR@BOS,TOR,BOS
76,Ernie Clement,676391,R,676391,FC,34.0,7.0,0.206,0.23323529411764704,0.559,0.147,82.878125,0.176,32,0.062,0.125,0.094,0.438,0.059,0.0,TOR@BOS,TOR,BOS
77,Ernie Clement,676391,R,676391,FF,85.0,21.0,0.247,0.29804597701149427,0.705,0.2,88.6525641025641,0.341,78,0.051,0.231,0.179,0.385,0.101,0.022,TOR@BOS,TOR,BOS
79,Ernie Clement,676391,R,676391,SI,61.0,23.0,0.377,0.4308059701492537,1.023,0.21299999999999997,85.58928571428571,0.519,56,0.018,0.411,0.339,0.143,0.075,0.06,TOR@BOS,TOR,BOS
80,Ernie Clement,676391,R,676391,SL,75.0,15.0,0.2,0.21987012987012985,0.514,0.09299999999999997,83.8123076923077,0.417,65,0.031,0.215,0.2,0.169,0.13,0.026,TOR@BOS,TOR,BOS
81,Ernie Clement,676391,R,676391,ST,32.0,13.0,0.406,0.37190625,0.875,0.06299999999999994,84.77586206896552,0.2,29,0.034,0.207,0.379,0.31,0.094,0.0,TOR@BOS,TOR,BOS
83,Nathan Lukes,664770,R,664770,CH,11.0,2.0,0.182,0.27149999999999996,0.539,0.0,86.675,0.167,8,0.125,0.125,0.5,0.25,0.214,0.214,TOR@BOS,TOR,BOS
84,Nathan Lukes,664770,R,664770,CU,13.0,4.0,0.308,0.29330769230769227,0.671,0.07700000000000001,89.38571428571429,0.286,14,0.071,0.286,0.357,0.143,0.0,0.0,TOR@BOS,TOR,BOS
86,Nathan Lukes,664770,R,664770,FC,10.0,3.0,0.3,0.29654545454545456,0.664,0.0,85.56,0.125,10,0.0,0.1,0.4,0.4,0.0,0.091,TOR@BOS,TOR,BOS
87,Nathan Lukes,664770,R,664770,FF,38.0,8.0,0.211,0.29388888888888887,0.622,0.10500000000000001,82.60909090909091,0.267,33,0.0,0.303,0.182,0.273,0.184,0.143,TOR@BOS,TOR,BOS
89,Nathan Lukes,664770,R,664770,SI,8.0,2.0,0.25,0.26287499999999997,0.625,0.125,83.36666666666666,1.0,6,0.0,0.5,0.167,0.0,0.25,0.0,TOR@BOS,TOR,BOS
90,Nathan Lukes,664770,R,664770,SL,11.0,5.0,0.455,0.5709166666666666,1.409,0.454,86.07000000000001,0.833,10,0.0,0.6,0.4,0.2,0.083,0.083,TOR@BOS,TOR,BOS
91,Nathan Lukes,664770,R,664770,ST,3.0,1.0,0.333,0.285,0.666,0.0,83.39999999999999,0.0,3,0.0,0.0,0.0,0.667,0.0,0.0,TOR@BOS,TOR,BOS
0,Jarren Duran,680776,R,680776,CH,128.0,36.0,0.281,0.3176888888888889,0.746,0.14899999999999997,87.59484536082475,0.477,97,0.031,0.351,0.33,0.124,0.235,0.051,TOR@BOS,BOS,TOR
1,Jarren Duran,680776,R,680776,CU,82.0,25.0,0.305,0.39716091954022986,0.951,0.305,91.59344262295082,0.667,61,0.131,0.492,0.246,0.197,0.25,0.034,TOR@BOS,BOS,TOR
3,Jarren Duran,680776,R,680776,FC,77.0,26.0,0.338,0.37161728395061727,0.876,0.16799999999999998,90.6467741935484,0.5,62,0.048,0.468,0.387,0.161,0.185,0.025,TOR@BOS,BOS,TOR
4,Jarren Duran,680776,R,680776,FF,231.0,68.0,0.294,0.3836666666666666,0.908,0.24700000000000005,90.96705202312138,0.58,173,0.087,0.497,0.289,0.289,0.228,0.1,TOR@BOS,BOS,TOR
5,Jarren Duran,680776,R,680776,FS,51.0,13.0,0.255,0.3242499999999999,0.779,0.255,91.36585365853658,0.619,41,0.098,0.463,0.268,0.244,0.192,0.019,TOR@BOS,BOS,TOR
9,Jarren Duran,680776,R,680776,SI,86.0,31.0,0.36,0.416701030927835,0.98,0.18700000000000006,95.35774647887324,0.676,71,0.085,0.592,0.352,0.169,0.155,0.113,TOR@BOS,BOS,TOR
10,Jarren Duran,680776,R,680776,SL,98.0,22.0,0.224,0.32707619047619046,0.781,0.28600000000000003,90.5875,0.545,72,0.125,0.389,0.153,0.306,0.252,0.047,TOR@BOS,BOS,TOR
11,Jarren Duran,680776,R,680776,ST,22.0,5.0,0.227,0.2525833333333333,0.565,0.04600000000000001,85.92941176470588,0.375,17,0.118,0.235,0.059,0.412,0.208,0.083,TOR@BOS,BOS,TOR
13,Rafael Devers,646240,R,646240,CH,128.0,33.0,0.258,0.31684999999999997,0.733,0.15599999999999997,92.47787610619469,0.76,113,0.088,0.531,0.221,0.221,0.113,0.085,TOR@BOS,BOS,TOR
15,Rafael Devers,646240,R,646240,CU,80.0,21.0,0.262,0.3608045977011494,0.853,0.276,92.20909090909092,0.515,66,0.136,0.47,0.197,0.303,0.18,0.067,TOR@BOS,BOS,TOR
17,Rafael Devers,646240,R,646240,FC,68.0,20.0,0.294,0.4034230769230769,0.954,0.27999999999999997,91.80357142857143,0.581,56,0.125,0.464,0.196,0.357,0.165,0.114,TOR@BOS,BOS,TOR
18,Rafael Devers,646240,R,646240,FF,251.0,65.0,0.259,0.38114634146341464,0.903,0.29500000000000004,96.16272189349112,0.722,169,0.183,0.651,0.231,0.343,0.291,0.125,TOR@BOS,BOS,TOR
20,Rafael Devers,646240,R,646240,FS,48.0,13.0,0.271,0.32051999999999997,0.758,0.187,92.90263157894738,0.778,38,0.132,0.684,0.237,0.237,0.2,0.04,TOR@BOS,BOS,TOR
22,Rafael Devers,646240,R,646240,SI,92.0,32.0,0.348,0.42180198019801984,0.996,0.25,94.53461538461538,0.7,78,0.141,0.603,0.282,0.231,0.155,0.078,TOR@BOS,BOS,TOR
23,Rafael Devers,646240,R,646240,SL,68.0,24.0,0.353,0.5075185185185185,1.251,0.44100000000000006,95.2627450980392,0.714,51,0.235,0.627,0.294,0.255,0.21,0.148,TOR@BOS,BOS,TOR
24,Rafael Devers,646240,R,646240,ST,18.0,3.0,0.167,0.2783333333333333,0.619,0.166,91.61333333333333,0.667,15,0.067,0.533,0.333,0.267,0.143,0.095,TOR@BOS,BOS,TOR
26,Alex Bregman,608324,R,608324,CH,43.0,10.0,0.233,0.31610869565217387,0.748,0.232,88.63000000000001,0.286,30,0.067,0.4,0.167,0.3,0.283,0.043,TOR@BOS,BOS,TOR
27,Alex Bregman,608324,R,608324,CU,45.0,14.0,0.311,0.3782,0.911,0.289,88.62058823529412,0.45,34,0.088,0.382,0.294,0.294,0.244,0.0,TOR@BOS,BOS,TOR
29,Alex Bregman,608324,R,608324,FC,59.0,20.0,0.339,0.3841428571428572,0.906,0.186,87.69464285714285,0.5,56,0.0,0.393,0.304,0.232,0.048,0.048,TOR@BOS,BOS,TOR
30,Alex Bregman,608324,R,608324,FF,294.0,89.0,0.303,0.3858959537572254,0.894,0.187,91.0859375,0.497,256,0.078,0.422,0.289,0.348,0.117,0.146,TOR@BOS,BOS,TOR
31,Alex Bregman,608324,R,608324,FS,22.0,4.0,0.182,0.3479583333333333,0.841,0.409,90.39999999999999,0.8,12,0.0,0.5,0.25,0.167,0.417,0.0,TOR@BOS,BOS,TOR
32,Alex Bregman,608324,R,608324,SI,239.0,73.0,0.305,0.36164468864468857,0.83,0.134,89.49074074074075,0.462,216,0.056,0.417,0.176,0.245,0.088,0.102,TOR@BOS,BOS,TOR
33,Alex Bregman,608324,R,608324,SL,148.0,31.0,0.209,0.2808993710691824,0.655,0.18300000000000002,86.21478260869566,0.492,115,0.07,0.339,0.235,0.33,0.212,0.069,TOR@BOS,BOS,TOR
34,Alex Bregman,608324,R,608324,ST,40.0,7.0,0.175,0.21739999999999998,0.525,0.175,84.71071428571429,0.5,28,0.036,0.321,0.107,0.464,0.3,0.0,TOR@BOS,BOS,TOR
36,Triston Casas,671213,R,671213,CH,96.0,26.0,0.271,0.3313627450980392,0.783,0.19799999999999995,86.75466666666667,0.474,75,0.093,0.36,0.173,0.333,0.206,0.059,TOR@BOS,BOS,TOR
37,Triston Casas,671213,R,671213,CU,54.0,9.0,0.167,0.27196875,0.593,0.12899999999999998,88.53823529411765,0.474,34,0.088,0.353,0.206,0.353,0.312,0.141,TOR@BOS,BOS,TOR
